Well_ID,tile,Condition,value,Site,Metric
D6,4,20 nM Binimetinib,0.39582,1,cyt_nuc_ratio_sensor
D6,5,20 nM Binimetinib,0.368,1,cyt_nuc_ratio_sensor
D6,6,20 nM Binimetinib,0.41351,1,cyt_nuc_ratio_sensor
D6,7,20 nM Binimetinib,0.42739499999999997,1,cyt_nuc_ratio_sensor
D6,9,20 nM Binimetinib,0.41508,1,cyt_nuc_ratio_sensor
D7,2,20 nM Binimetinib,0.39528,1,cyt_nuc_ratio_sensor
D7,4,20 nM Binimetinib,0.41424,1,cyt_nuc_ratio_sensor
D7,7,20 nM Binimetinib,0.4026,1,cyt_nuc_ratio_sensor
D7,9,20 nM Binimetinib,0.41895,1,cyt_nuc_ratio_sensor
D8,1,20 nM Binimetinib,0.39201,1,cyt_nuc_ratio_sensor
D8,3,20 nM Binimetinib,0.39108,1,cyt_nuc_ratio_sensor
D8,6,20 nM Binimetinib,0.371645,1,cyt_nuc_ratio_sensor
D8,9,20 nM Binimetinib,0.45557,1,cyt_nuc_ratio_sensor
E5,0,60 nM Binimetinib,0.39666,1,cyt_nuc_ratio_sensor
E5,1,60 nM Binimetinib,0.389035,1,cyt_nuc_ratio_sensor
E5,3,60 nM Binimetinib,0.40097499999999997,1,cyt_nuc_ratio_sensor
E5,4,60 nM Binimetinib,0.413575,1,cyt_nuc_ratio_sensor
E5,5,60 nM Binimetinib,0.43617,1,cyt_nuc_ratio_sensor
E5,7,60 nM Binimetinib,0.41796,1,cyt_nuc_ratio_sensor
E5,9,60 nM Binimetinib,0.41649,1,cyt_nuc_ratio_sensor
E6,0,60 nM Binimetinib,0.4233,1,cyt_nuc_ratio_sensor
E6,2,60 nM Binimetinib,0.38626,1,cyt_nuc_ratio_sensor
E6,3,60 nM Binimetinib,0.38467,1,cyt_nuc_ratio_sensor
E6,4,60 nM Binimetinib,0.41777,1,cyt_nuc_ratio_sensor
E6,5,60 nM Binimetinib,0.355905,1,cyt_nuc_ratio_sensor
E6,6,60 nM Binimetinib,0.38904,1,cyt_nuc_ratio_sensor
E6,7,60 nM Binimetinib,0.37446,1,cyt_nuc_ratio_sensor
E6,8,60 nM Binimetinib,0.36122,1,cyt_nuc_ratio_sensor
E6,9,60 nM Binimetinib,0.43159,1,cyt_nuc_ratio_sensor
E7,0,60 nM Binimetinib,0.422295,1,cyt_nuc_ratio_sensor
E7,1,60 nM Binimetinib,0.436905,1,cyt_nuc_ratio_sensor
E7,2,60 nM Binimetinib,0.38988,1,cyt_nuc_ratio_sensor
E7,3,60 nM Binimetinib,0.435415,1,cyt_nuc_ratio_sensor
E7,4,60 nM Binimetinib,0.41428,1,cyt_nuc_ratio_sensor
E7,5,60 nM Binimetinib,0.4116,1,cyt_nuc_ratio_sensor
E7,6,60 nM Binimetinib,0.415385,1,cyt_nuc_ratio_sensor
E7,7,60 nM Binimetinib,0.41656,1,cyt_nuc_ratio_sensor
E7,8,60 nM Binimetinib,0.39981500000000003,1,cyt_nuc_ratio_sensor
E7,9,60 nM Binimetinib,0.41758,1,cyt_nuc_ratio_sensor
E8,0,60 nM Binimetinib,0.4113,1,cyt_nuc_ratio_sensor
E8,1,60 nM Binimetinib,0.42139,1,cyt_nuc_ratio_sensor
E8,2,60 nM Binimetinib,0.39906,1,cyt_nuc_ratio_sensor
E8,3,60 nM Binimetinib,0.3949,1,cyt_nuc_ratio_sensor
E8,4,60 nM Binimetinib,0.360655,1,cyt_nuc_ratio_sensor
E8,5,60 nM Binimetinib,0.40881,1,cyt_nuc_ratio_sensor
E8,6,60 nM Binimetinib,0.42083,1,cyt_nuc_ratio_sensor
E8,7,60 nM Binimetinib,0.40582,1,cyt_nuc_ratio_sensor
E8,8,60 nM Binimetinib,0.42507,1,cyt_nuc_ratio_sensor
E8,9,60 nM Binimetinib,0.38266500000000003,1,cyt_nuc_ratio_sensor
F5,0,200 nM Binimetinib,0.42089,1,cyt_nuc_ratio_sensor
F5,1,200 nM Binimetinib,0.38578,1,cyt_nuc_ratio_sensor
F5,2,200 nM Binimetinib,0.365065,1,cyt_nuc_ratio_sensor
F5,3,200 nM Binimetinib,0.40197,1,cyt_nuc_ratio_sensor
F5,4,200 nM Binimetinib,0.40571999999999997,1,cyt_nuc_ratio_sensor
F5,5,200 nM Binimetinib,0.41611,1,cyt_nuc_ratio_sensor
F5,6,200 nM Binimetinib,0.35879,1,cyt_nuc_ratio_sensor
F5,7,200 nM Binimetinib,0.393695,1,cyt_nuc_ratio_sensor
F5,8,200 nM Binimetinib,0.42688,1,cyt_nuc_ratio_sensor
F5,9,200 nM Binimetinib,0.348815,1,cyt_nuc_ratio_sensor
F6,0,200 nM Binimetinib,0.37966500000000003,1,cyt_nuc_ratio_sensor
F6,1,200 nM Binimetinib,0.39178,1,cyt_nuc_ratio_sensor
F6,2,200 nM Binimetinib,0.365615,1,cyt_nuc_ratio_sensor
F6,3,200 nM Binimetinib,0.409795,1,cyt_nuc_ratio_sensor
F6,4,200 nM Binimetinib,0.397385,1,cyt_nuc_ratio_sensor
F6,5,200 nM Binimetinib,0.37343,1,cyt_nuc_ratio_sensor
F6,6,200 nM Binimetinib,0.423155,1,cyt_nuc_ratio_sensor
F6,7,200 nM Binimetinib,0.379155,1,cyt_nuc_ratio_sensor
F6,8,200 nM Binimetinib,0.34295,1,cyt_nuc_ratio_sensor
F6,9,200 nM Binimetinib,0.36619,1,cyt_nuc_ratio_sensor
F7,0,200 nM Binimetinib,0.39988999999999997,1,cyt_nuc_ratio_sensor
F7,1,200 nM Binimetinib,0.41923,1,cyt_nuc_ratio_sensor
F7,2,200 nM Binimetinib,0.41875,1,cyt_nuc_ratio_sensor
F7,3,200 nM Binimetinib,0.40419,1,cyt_nuc_ratio_sensor
F7,4,200 nM Binimetinib,0.39978,1,cyt_nuc_ratio_sensor
F7,5,200 nM Binimetinib,0.38138,1,cyt_nuc_ratio_sensor
F7,6,200 nM Binimetinib,0.39931,1,cyt_nuc_ratio_sensor
F7,7,200 nM Binimetinib,0.38242,1,cyt_nuc_ratio_sensor
F7,8,200 nM Binimetinib,0.3997,1,cyt_nuc_ratio_sensor
F7,9,200 nM Binimetinib,0.33294,1,cyt_nuc_ratio_sensor
F8,0,200 nM Binimetinib,0.40338,1,cyt_nuc_ratio_sensor
F8,1,200 nM Binimetinib,0.35911,1,cyt_nuc_ratio_sensor
F8,2,200 nM Binimetinib,0.39295,1,cyt_nuc_ratio_sensor
F8,3,200 nM Binimetinib,0.41793,1,cyt_nuc_ratio_sensor
F8,4,200 nM Binimetinib,0.384015,1,cyt_nuc_ratio_sensor
F8,5,200 nM Binimetinib,0.42073,1,cyt_nuc_ratio_sensor
F8,6,200 nM Binimetinib,0.37146,1,cyt_nuc_ratio_sensor
F8,7,200 nM Binimetinib,0.4174,1,cyt_nuc_ratio_sensor
F8,8,200 nM Binimetinib,0.39297,1,cyt_nuc_ratio_sensor
F8,9,200 nM Binimetinib,0.39583,1,cyt_nuc_ratio_sensor
G5,0,3.5 µM Binimetinib,0.37279,1,cyt_nuc_ratio_sensor
G5,1,3.5 µM Binimetinib,0.39501,1,cyt_nuc_ratio_sensor
G5,2,3.5 µM Binimetinib,0.38941000000000003,1,cyt_nuc_ratio_sensor
G5,3,3.5 µM Binimetinib,0.36308,1,cyt_nuc_ratio_sensor
G5,4,3.5 µM Binimetinib,0.39273,1,cyt_nuc_ratio_sensor
G5,5,3.5 µM Binimetinib,0.36364,1,cyt_nuc_ratio_sensor
G5,6,3.5 µM Binimetinib,0.41124,1,cyt_nuc_ratio_sensor
G5,7,3.5 µM Binimetinib,0.410845,1,cyt_nuc_ratio_sensor
G5,8,3.5 µM Binimetinib,0.37300500000000003,1,cyt_nuc_ratio_sensor
G5,9,3.5 µM Binimetinib,0.38324,1,cyt_nuc_ratio_sensor
G6,0,3.5 µM Binimetinib,0.43993,1,cyt_nuc_ratio_sensor
G6,1,3.5 µM Binimetinib,0.42522,1,cyt_nuc_ratio_sensor
G6,2,3.5 µM Binimetinib,0.39445,1,cyt_nuc_ratio_sensor
G6,3,3.5 µM Binimetinib,0.42127000000000003,1,cyt_nuc_ratio_sensor
G6,4,3.5 µM Binimetinib,0.42632,1,cyt_nuc_ratio_sensor
G6,5,3.5 µM Binimetinib,0.38587,1,cyt_nuc_ratio_sensor
G6,6,3.5 µM Binimetinib,0.39627,1,cyt_nuc_ratio_sensor
G6,7,3.5 µM Binimetinib,0.3883,1,cyt_nuc_ratio_sensor
G6,8,3.5 µM Binimetinib,0.379585,1,cyt_nuc_ratio_sensor
G6,9,3.5 µM Binimetinib,0.37485999999999997,1,cyt_nuc_ratio_sensor
G7,0,3.5 µM Binimetinib,0.38372,1,cyt_nuc_ratio_sensor
G7,1,3.5 µM Binimetinib,0.37786,1,cyt_nuc_ratio_sensor
G7,2,3.5 µM Binimetinib,0.37407999999999997,1,cyt_nuc_ratio_sensor
G7,3,3.5 µM Binimetinib,0.38957,1,cyt_nuc_ratio_sensor
G7,4,3.5 µM Binimetinib,0.40987,1,cyt_nuc_ratio_sensor
G7,5,3.5 µM Binimetinib,0.40255,1,cyt_nuc_ratio_sensor
G7,6,3.5 µM Binimetinib,0.36728,1,cyt_nuc_ratio_sensor
G7,7,3.5 µM Binimetinib,0.39744999999999997,1,cyt_nuc_ratio_sensor
G7,8,3.5 µM Binimetinib,0.4266,1,cyt_nuc_ratio_sensor
G7,9,3.5 µM Binimetinib,0.39641000000000004,1,cyt_nuc_ratio_sensor
G8,0,3.5 µM Binimetinib,0.39705,1,cyt_nuc_ratio_sensor
G8,1,3.5 µM Binimetinib,0.38565,1,cyt_nuc_ratio_sensor
G8,2,3.5 µM Binimetinib,0.39235,1,cyt_nuc_ratio_sensor
G8,3,3.5 µM Binimetinib,0.41976,1,cyt_nuc_ratio_sensor
G8,4,3.5 µM Binimetinib,0.38893999999999995,1,cyt_nuc_ratio_sensor
G8,5,3.5 µM Binimetinib,0.40641,1,cyt_nuc_ratio_sensor
G8,6,3.5 µM Binimetinib,0.4044,1,cyt_nuc_ratio_sensor
G8,7,3.5 µM Binimetinib,0.37906,1,cyt_nuc_ratio_sensor
G8,8,3.5 µM Binimetinib,0.38588999999999996,1,cyt_nuc_ratio_sensor
G8,9,3.5 µM Binimetinib,0.40588,1,cyt_nuc_ratio_sensor
B5,0,DMSO,0.435295,2,cyt_nuc_ratio_sensor
B5,1,DMSO,0.48758,2,cyt_nuc_ratio_sensor
B5,2,DMSO,0.356655,2,cyt_nuc_ratio_sensor
B5,3,DMSO,0.50729,2,cyt_nuc_ratio_sensor
B5,4,DMSO,0.48089499999999996,2,cyt_nuc_ratio_sensor
B5,5,DMSO,0.4651,2,cyt_nuc_ratio_sensor
B5,6,DMSO,0.484865,2,cyt_nuc_ratio_sensor
B5,7,DMSO,0.5052350000000001,2,cyt_nuc_ratio_sensor
B5,8,DMSO,0.48057,2,cyt_nuc_ratio_sensor
B5,9,DMSO,0.52247,2,cyt_nuc_ratio_sensor
B6,0,DMSO,0.51082,2,cyt_nuc_ratio_sensor
B6,1,DMSO,0.479125,2,cyt_nuc_ratio_sensor
B6,2,DMSO,0.52828,2,cyt_nuc_ratio_sensor
B6,3,DMSO,0.4924,2,cyt_nuc_ratio_sensor
B6,4,DMSO,0.42179,2,cyt_nuc_ratio_sensor
B6,5,DMSO,0.46882,2,cyt_nuc_ratio_sensor
B6,6,DMSO,0.52048,2,cyt_nuc_ratio_sensor
B6,7,DMSO,0.47857,2,cyt_nuc_ratio_sensor
B6,8,DMSO,0.46053,2,cyt_nuc_ratio_sensor
B6,9,DMSO,0.52251,2,cyt_nuc_ratio_sensor
B7,0,DMSO,0.4939,2,cyt_nuc_ratio_sensor
B7,1,DMSO,0.42889,2,cyt_nuc_ratio_sensor
B7,2,DMSO,0.51543,2,cyt_nuc_ratio_sensor
B7,3,DMSO,0.49861500000000003,2,cyt_nuc_ratio_sensor
B7,4,DMSO,0.52342,2,cyt_nuc_ratio_sensor
B7,5,DMSO,0.47496499999999997,2,cyt_nuc_ratio_sensor
B7,6,DMSO,0.49214,2,cyt_nuc_ratio_sensor
B7,7,DMSO,0.49299000000000004,2,cyt_nuc_ratio_sensor
B7,8,DMSO,0.5069,2,cyt_nuc_ratio_sensor
B7,9,DMSO,0.49824,2,cyt_nuc_ratio_sensor
B8,0,DMSO,0.48102500000000004,2,cyt_nuc_ratio_sensor
B8,1,DMSO,0.500845,2,cyt_nuc_ratio_sensor
B8,2,DMSO,0.4912,2,cyt_nuc_ratio_sensor
B8,3,DMSO,0.47641,2,cyt_nuc_ratio_sensor
B8,4,DMSO,0.5036499999999999,2,cyt_nuc_ratio_sensor
B8,5,DMSO,0.426545,2,cyt_nuc_ratio_sensor
B8,6,DMSO,0.477475,2,cyt_nuc_ratio_sensor
B8,7,DMSO,0.47415,2,cyt_nuc_ratio_sensor
B8,8,DMSO,0.433975,2,cyt_nuc_ratio_sensor
B8,9,DMSO,0.49998,2,cyt_nuc_ratio_sensor
C5,0,3.5 µM Binimetinib,0.39317,2,cyt_nuc_ratio_sensor
C5,1,3.5 µM Binimetinib,0.3672,2,cyt_nuc_ratio_sensor
C5,2,3.5 µM Binimetinib,0.42523,2,cyt_nuc_ratio_sensor
C5,3,3.5 µM Binimetinib,0.41588,2,cyt_nuc_ratio_sensor
C5,4,3.5 µM Binimetinib,0.40393,2,cyt_nuc_ratio_sensor
C5,5,3.5 µM Binimetinib,0.39708,2,cyt_nuc_ratio_sensor
C5,6,3.5 µM Binimetinib,0.40956,2,cyt_nuc_ratio_sensor
C5,7,3.5 µM Binimetinib,0.40159,2,cyt_nuc_ratio_sensor
C5,8,3.5 µM Binimetinib,0.39478,2,cyt_nuc_ratio_sensor
C5,9,3.5 µM Binimetinib,0.363045,2,cyt_nuc_ratio_sensor
C6,0,3.5 µM Binimetinib,0.42356499999999997,2,cyt_nuc_ratio_sensor
C6,1,3.5 µM Binimetinib,0.39796,2,cyt_nuc_ratio_sensor
C6,2,3.5 µM Binimetinib,0.41393,2,cyt_nuc_ratio_sensor
C6,3,3.5 µM Binimetinib,0.35732,2,cyt_nuc_ratio_sensor
C6,4,3.5 µM Binimetinib,0.40815,2,cyt_nuc_ratio_sensor
C6,5,3.5 µM Binimetinib,0.40929,2,cyt_nuc_ratio_sensor
C6,6,3.5 µM Binimetinib,0.32348,2,cyt_nuc_ratio_sensor
C6,7,3.5 µM Binimetinib,0.35089,2,cyt_nuc_ratio_sensor
C6,8,3.5 µM Binimetinib,0.36825,2,cyt_nuc_ratio_sensor
C6,9,3.5 µM Binimetinib,0.374815,2,cyt_nuc_ratio_sensor
C7,0,3.5 µM Binimetinib,0.412055,2,cyt_nuc_ratio_sensor
C7,1,3.5 µM Binimetinib,0.40164,2,cyt_nuc_ratio_sensor
C7,2,3.5 µM Binimetinib,0.41903999999999997,2,cyt_nuc_ratio_sensor
C7,3,3.5 µM Binimetinib,0.39563,2,cyt_nuc_ratio_sensor
C7,4,3.5 µM Binimetinib,0.38943,2,cyt_nuc_ratio_sensor
C7,5,3.5 µM Binimetinib,0.4065,2,cyt_nuc_ratio_sensor
C7,6,3.5 µM Binimetinib,0.38673,2,cyt_nuc_ratio_sensor
C7,7,3.5 µM Binimetinib,0.372535,2,cyt_nuc_ratio_sensor
C7,8,3.5 µM Binimetinib,0.39201,2,cyt_nuc_ratio_sensor
C7,9,3.5 µM Binimetinib,0.350345,2,cyt_nuc_ratio_sensor
C8,0,3.5 µM Binimetinib,0.397005,2,cyt_nuc_ratio_sensor
C8,1,3.5 µM Binimetinib,0.379915,2,cyt_nuc_ratio_sensor
C8,2,3.5 µM Binimetinib,0.37012500000000004,2,cyt_nuc_ratio_sensor
C8,3,3.5 µM Binimetinib,0.36805,2,cyt_nuc_ratio_sensor
C8,4,3.5 µM Binimetinib,0.37197,2,cyt_nuc_ratio_sensor
C8,5,3.5 µM Binimetinib,0.41531,2,cyt_nuc_ratio_sensor
C8,6,3.5 µM Binimetinib,0.361565,2,cyt_nuc_ratio_sensor
C8,7,3.5 µM Binimetinib,0.35472,2,cyt_nuc_ratio_sensor
C8,8,3.5 µM Binimetinib,0.40585,2,cyt_nuc_ratio_sensor
C8,9,3.5 µM Binimetinib,0.37588,2,cyt_nuc_ratio_sensor
D5,0,200 nM Binimetinib,0.40714,2,cyt_nuc_ratio_sensor
D5,1,200 nM Binimetinib,0.4164,2,cyt_nuc_ratio_sensor
D5,2,200 nM Binimetinib,0.41147,2,cyt_nuc_ratio_sensor
D5,3,200 nM Binimetinib,0.36042,2,cyt_nuc_ratio_sensor
D5,4,200 nM Binimetinib,0.38785000000000003,2,cyt_nuc_ratio_sensor
D5,5,200 nM Binimetinib,0.39527999999999996,2,cyt_nuc_ratio_sensor
D5,6,200 nM Binimetinib,0.40391,2,cyt_nuc_ratio_sensor
D5,7,200 nM Binimetinib,0.375025,2,cyt_nuc_ratio_sensor
D5,8,200 nM Binimetinib,0.376405,2,cyt_nuc_ratio_sensor
D5,9,200 nM Binimetinib,0.42021,2,cyt_nuc_ratio_sensor
D6,0,200 nM Binimetinib,0.41815,2,cyt_nuc_ratio_sensor
D6,1,200 nM Binimetinib,0.29014,2,cyt_nuc_ratio_sensor
D6,2,200 nM Binimetinib,0.40396,2,cyt_nuc_ratio_sensor
D6,3,200 nM Binimetinib,0.38937,2,cyt_nuc_ratio_sensor
D6,4,200 nM Binimetinib,0.38666,2,cyt_nuc_ratio_sensor
D6,5,200 nM Binimetinib,0.40062,2,cyt_nuc_ratio_sensor
D6,6,200 nM Binimetinib,0.42814,2,cyt_nuc_ratio_sensor
D6,7,200 nM Binimetinib,0.40981,2,cyt_nuc_ratio_sensor
D6,8,200 nM Binimetinib,0.46599999999999997,2,cyt_nuc_ratio_sensor
D6,9,200 nM Binimetinib,0.38736,2,cyt_nuc_ratio_sensor
D7,0,200 nM Binimetinib,0.44637,2,cyt_nuc_ratio_sensor
D7,1,200 nM Binimetinib,0.39175499999999996,2,cyt_nuc_ratio_sensor
D7,2,200 nM Binimetinib,0.42149000000000003,2,cyt_nuc_ratio_sensor
D7,3,200 nM Binimetinib,0.38678,2,cyt_nuc_ratio_sensor
D7,4,200 nM Binimetinib,0.434255,2,cyt_nuc_ratio_sensor
D7,5,200 nM Binimetinib,0.42009,2,cyt_nuc_ratio_sensor
D7,6,200 nM Binimetinib,0.423555,2,cyt_nuc_ratio_sensor
D7,7,200 nM Binimetinib,0.40697,2,cyt_nuc_ratio_sensor
D7,8,200 nM Binimetinib,0.39554500000000004,2,cyt_nuc_ratio_sensor
D7,9,200 nM Binimetinib,0.37365,2,cyt_nuc_ratio_sensor
D8,0,200 nM Binimetinib,0.41237,2,cyt_nuc_ratio_sensor
D8,1,200 nM Binimetinib,0.29653,2,cyt_nuc_ratio_sensor
D8,2,200 nM Binimetinib,0.37232,2,cyt_nuc_ratio_sensor
D8,3,200 nM Binimetinib,0.41891,2,cyt_nuc_ratio_sensor
D8,4,200 nM Binimetinib,0.42728,2,cyt_nuc_ratio_sensor
D8,5,200 nM Binimetinib,0.46989,2,cyt_nuc_ratio_sensor
D8,6,200 nM Binimetinib,0.40847,2,cyt_nuc_ratio_sensor
D8,7,200 nM Binimetinib,0.408055,2,cyt_nuc_ratio_sensor
D8,8,200 nM Binimetinib,0.41241,2,cyt_nuc_ratio_sensor
D8,9,200 nM Binimetinib,0.36792,2,cyt_nuc_ratio_sensor
E5,0,60 nM Binimetinib,0.451235,2,cyt_nuc_ratio_sensor
E5,1,60 nM Binimetinib,0.43001,2,cyt_nuc_ratio_sensor
E5,2,60 nM Binimetinib,0.41933,2,cyt_nuc_ratio_sensor
E5,3,60 nM Binimetinib,0.40518,2,cyt_nuc_ratio_sensor
E5,4,60 nM Binimetinib,0.40328,2,cyt_nuc_ratio_sensor
E5,5,60 nM Binimetinib,0.44994,2,cyt_nuc_ratio_sensor
E5,6,60 nM Binimetinib,0.40506,2,cyt_nuc_ratio_sensor
E5,7,60 nM Binimetinib,0.43927,2,cyt_nuc_ratio_sensor
E5,8,60 nM Binimetinib,0.39603,2,cyt_nuc_ratio_sensor
E5,9,60 nM Binimetinib,0.45206,2,cyt_nuc_ratio_sensor
E6,0,60 nM Binimetinib,0.43178,2,cyt_nuc_ratio_sensor
E6,1,60 nM Binimetinib,0.41016,2,cyt_nuc_ratio_sensor
E6,2,60 nM Binimetinib,0.41835,2,cyt_nuc_ratio_sensor
E6,3,60 nM Binimetinib,0.41658,2,cyt_nuc_ratio_sensor
E6,4,60 nM Binimetinib,0.41169,2,cyt_nuc_ratio_sensor
E6,5,60 nM Binimetinib,0.442515,2,cyt_nuc_ratio_sensor
E6,6,60 nM Binimetinib,0.43122,2,cyt_nuc_ratio_sensor
E6,7,60 nM Binimetinib,0.42498,2,cyt_nuc_ratio_sensor
E6,8,60 nM Binimetinib,0.42494,2,cyt_nuc_ratio_sensor
E6,9,60 nM Binimetinib,0.404265,2,cyt_nuc_ratio_sensor
E7,0,60 nM Binimetinib,0.453355,2,cyt_nuc_ratio_sensor
E7,1,60 nM Binimetinib,0.43884,2,cyt_nuc_ratio_sensor
