Well_ID,tile,Condition,value,Site,Metric
B5,0,DMSO,0.45039,1,cyt_nuc_ratio_sensor
B5,1,DMSO,0.466705,1,cyt_nuc_ratio_sensor
B5,2,DMSO,0.43693000000000004,1,cyt_nuc_ratio_sensor
B5,3,DMSO,0.4513,1,cyt_nuc_ratio_sensor
B5,4,DMSO,0.45353,1,cyt_nuc_ratio_sensor
B5,5,DMSO,0.45504,1,cyt_nuc_ratio_sensor
B5,6,DMSO,0.44357,1,cyt_nuc_ratio_sensor
B5,7,DMSO,0.437,1,cyt_nuc_ratio_sensor
B5,8,DMSO,0.44828,1,cyt_nuc_ratio_sensor
B5,9,DMSO,0.47229,1,cyt_nuc_ratio_sensor
B6,0,DMSO,0.45729,1,cyt_nuc_ratio_sensor
B6,1,DMSO,0.4469,1,cyt_nuc_ratio_sensor
B6,2,DMSO,0.44448,1,cyt_nuc_ratio_sensor
B6,3,DMSO,0.45843999999999996,1,cyt_nuc_ratio_sensor
B6,4,DMSO,0.44416,1,cyt_nuc_ratio_sensor
B6,5,DMSO,0.40904,1,cyt_nuc_ratio_sensor
B6,6,DMSO,0.44649000000000005,1,cyt_nuc_ratio_sensor
B6,7,DMSO,0.46762,1,cyt_nuc_ratio_sensor
B6,8,DMSO,0.456045,1,cyt_nuc_ratio_sensor
B6,9,DMSO,0.46294,1,cyt_nuc_ratio_sensor
B7,0,DMSO,0.466335,1,cyt_nuc_ratio_sensor
B7,1,DMSO,0.465645,1,cyt_nuc_ratio_sensor
B7,2,DMSO,0.47758,1,cyt_nuc_ratio_sensor
B7,3,DMSO,0.46209,1,cyt_nuc_ratio_sensor
B7,4,DMSO,0.48532,1,cyt_nuc_ratio_sensor
B7,5,DMSO,0.46681,1,cyt_nuc_ratio_sensor
B7,6,DMSO,0.46015,1,cyt_nuc_ratio_sensor
B7,7,DMSO,0.376245,1,cyt_nuc_ratio_sensor
B7,8,DMSO,0.41513,1,cyt_nuc_ratio_sensor
B7,9,DMSO,0.41628,1,cyt_nuc_ratio_sensor
B8,0,DMSO,0.463805,1,cyt_nuc_ratio_sensor
B8,1,DMSO,0.44789,1,cyt_nuc_ratio_sensor
B8,2,DMSO,0.43492,1,cyt_nuc_ratio_sensor
B8,3,DMSO,0.43250500000000003,1,cyt_nuc_ratio_sensor
B8,4,DMSO,0.447265,1,cyt_nuc_ratio_sensor
B8,5,DMSO,0.437465,1,cyt_nuc_ratio_sensor
B8,6,DMSO,0.484185,1,cyt_nuc_ratio_sensor
B8,7,DMSO,0.464855,1,cyt_nuc_ratio_sensor
B8,8,DMSO,0.42488000000000004,1,cyt_nuc_ratio_sensor
B8,9,DMSO,0.43267,1,cyt_nuc_ratio_sensor
C5,0,100 nM TPA,0.528745,1,cyt_nuc_ratio_sensor
C5,1,100 nM TPA,0.53988,1,cyt_nuc_ratio_sensor
C5,2,100 nM TPA,0.52605,1,cyt_nuc_ratio_sensor
C5,3,100 nM TPA,0.46307,1,cyt_nuc_ratio_sensor
C5,4,100 nM TPA,0.512,1,cyt_nuc_ratio_sensor
C5,5,100 nM TPA,0.48584,1,cyt_nuc_ratio_sensor
C5,6,100 nM TPA,0.5130699999999999,1,cyt_nuc_ratio_sensor
C5,7,100 nM TPA,0.500085,1,cyt_nuc_ratio_sensor
C5,8,100 nM TPA,0.5024,1,cyt_nuc_ratio_sensor
C5,9,100 nM TPA,0.43186,1,cyt_nuc_ratio_sensor
C6,0,100 nM TPA,0.5280050000000001,1,cyt_nuc_ratio_sensor
C6,1,100 nM TPA,0.48003,1,cyt_nuc_ratio_sensor
C6,2,100 nM TPA,0.49174,1,cyt_nuc_ratio_sensor
C6,3,100 nM TPA,0.53539,1,cyt_nuc_ratio_sensor
C6,4,100 nM TPA,0.53086,1,cyt_nuc_ratio_sensor
C6,5,100 nM TPA,0.51945,1,cyt_nuc_ratio_sensor
C6,6,100 nM TPA,0.5305,1,cyt_nuc_ratio_sensor
C6,7,100 nM TPA,0.477395,1,cyt_nuc_ratio_sensor
C6,8,100 nM TPA,0.469315,1,cyt_nuc_ratio_sensor
C6,9,100 nM TPA,0.52262,1,cyt_nuc_ratio_sensor
C7,0,100 nM TPA,0.4999,1,cyt_nuc_ratio_sensor
C7,1,100 nM TPA,0.51522,1,cyt_nuc_ratio_sensor
C7,2,100 nM TPA,0.50478,1,cyt_nuc_ratio_sensor
C7,3,100 nM TPA,0.53271,1,cyt_nuc_ratio_sensor
C7,4,100 nM TPA,0.477655,1,cyt_nuc_ratio_sensor
C7,5,100 nM TPA,0.47438,1,cyt_nuc_ratio_sensor
C7,6,100 nM TPA,0.517255,1,cyt_nuc_ratio_sensor
C7,7,100 nM TPA,0.51795,1,cyt_nuc_ratio_sensor
C7,8,100 nM TPA,0.52203,1,cyt_nuc_ratio_sensor
C7,9,100 nM TPA,0.516795,1,cyt_nuc_ratio_sensor
C8,0,100 nM TPA,0.509315,1,cyt_nuc_ratio_sensor
C8,1,100 nM TPA,0.48066,1,cyt_nuc_ratio_sensor
C8,2,100 nM TPA,0.503815,1,cyt_nuc_ratio_sensor
C8,3,100 nM TPA,0.476205,1,cyt_nuc_ratio_sensor
C8,4,100 nM TPA,0.49163,1,cyt_nuc_ratio_sensor
C8,5,100 nM TPA,0.49654,1,cyt_nuc_ratio_sensor
C8,6,100 nM TPA,0.480745,1,cyt_nuc_ratio_sensor
C8,7,100 nM TPA,0.529175,1,cyt_nuc_ratio_sensor
C8,8,100 nM TPA,0.50021,1,cyt_nuc_ratio_sensor
C8,9,100 nM TPA,0.511665,1,cyt_nuc_ratio_sensor
D5,0,20 nM Binimetinib,0.43008,1,cyt_nuc_ratio_sensor
D5,1,20 nM Binimetinib,0.390805,1,cyt_nuc_ratio_sensor
D5,2,20 nM Binimetinib,0.38886,1,cyt_nuc_ratio_sensor
D5,3,20 nM Binimetinib,0.427285,1,cyt_nuc_ratio_sensor
D5,4,20 nM Binimetinib,0.41195,1,cyt_nuc_ratio_sensor
D5,5,20 nM Binimetinib,0.422975,1,cyt_nuc_ratio_sensor
D5,6,20 nM Binimetinib,0.42266000000000004,1,cyt_nuc_ratio_sensor
D5,7,20 nM Binimetinib,0.39671,1,cyt_nuc_ratio_sensor
D5,8,20 nM Binimetinib,0.42556,1,cyt_nuc_ratio_sensor
D5,9,20 nM Binimetinib,0.42967,1,cyt_nuc_ratio_sensor
D6,0,20 nM Binimetinib,0.42929,1,cyt_nuc_ratio_sensor
D6,1,20 nM Binimetinib,0.41695,1,cyt_nuc_ratio_sensor
D6,2,20 nM Binimetinib,0.42726,1,cyt_nuc_ratio_sensor
D6,3,20 nM Binimetinib,0.41714,1,cyt_nuc_ratio_sensor
