Site,Condition,q_50_nuc_nucleus,q_50_nuc_sensor,q_50_collar_sensor
1,DMSO,2638.0,1509.0,0.0
1,DMSO,3687.0,2007.0,1136.5
1,DMSO,2261.0,2002.0,1547.0
1,DMSO,2182.0,1765.0,672.0
1,DMSO,120.0,224.0,152.0
1,DMSO,3080.0,1317.0,526.0
1,DMSO,3560.5,1506.0,1198.0
1,DMSO,4202.0,2313.0,1698.0
1,DMSO,4181.0,1806.0,1559.0
1,DMSO,1385.0,1535.5,561.0
1,DMSO,3428.0,1258.0,927.0
1,DMSO,3853.5,1791.0,1363.0
1,DMSO,3892.0,1634.0,1230.0
1,DMSO,4228.0,2383.0,2142.0
1,DMSO,339.0,343.0,167.0
1,DMSO,5569.5,1862.5,1498.0
1,DMSO,5373.0,2193.0,1972.0
1,DMSO,4985.5,2202.5,1961.0
1,DMSO,3872.0,1754.0,1351.5
1,DMSO,4448.0,1481.0,1333.0
1,DMSO,7783.0,2526.0,1175.5
1,DMSO,8855.5,3222.0,2610.0
1,DMSO,4219.0,1424.0,1449.5
1,DMSO,3827.0,1607.0,1347.0
1,DMSO,2747.0,2148.0,1499.0
1,DMSO,1820.0,1292.0,745.5
1,DMSO,2397.5,1313.0,699.5
1,DMSO,4943.5,1738.0,1543.0
1,DMSO,4013.0,1879.0,921.0
1,DMSO,4505.5,1654.0,1677.0
1,DMSO,4768.0,3410.0,3013.0
1,DMSO,4019.0,2014.0,1729.0
1,DMSO,5090.5,2106.0,1775.5
1,DMSO,3407.0,2291.0,1281.0
1,DMSO,4385.5,2487.5,2091.5
1,DMSO,3270.0,1384.0,961.0
1,DMSO,10025.5,3100.0,2638.0
1,DMSO,3791.5,2223.5,2093.0
1,DMSO,3432.5,1414.0,1239.5
1,DMSO,3072.5,1582.0,1248.5
1,DMSO,8530.5,3726.0,3056.0
1,DMSO,5411.5,2813.0,2346.5
1,DMSO,2656.5,1760.0,1527.5
1,DMSO,4640.0,2319.0,1825.0
1,DMSO,4925.5,2362.0,1700.5
1,DMSO,4204.0,2544.5,2287.0
1,DMSO,3675.0,1881.0,1467.0
1,DMSO,4432.0,1377.0,580.0
1,DMSO,3020.0,1624.0,1488.0
1,DMSO,3550.0,2713.5,2482.0
1,DMSO,4070.5,2488.5,2034.0
1,DMSO,351.0,312.0,194.0
1,DMSO,4486.0,2177.0,2000.5
1,DMSO,6870.0,3480.0,2951.0
1,DMSO,7739.5,2493.0,1929.0
1,DMSO,3873.5,2482.0,2232.5
1,DMSO,3440.0,2565.0,2301.0
1,DMSO,5109.0,2154.5,1377.0
1,DMSO,2401.0,1586.0,1451.0
1,DMSO,5489.5,2794.5,2474.0
1,DMSO,3395.0,1757.0,1734.5
1,DMSO,5171.5,2535.5,2072.0
1,DMSO,3794.0,2737.0,2365.5
1,DMSO,185.0,146.0,90.5
1,DMSO,2294.0,2104.0,1879.0
1,DMSO,3654.0,1625.0,1317.0
1,DMSO,3602.0,1767.0,926.0
1,DMSO,3616.0,2313.0,1759.0
1,DMSO,3610.0,1895.0,1707.0
1,DMSO,1982.0,1474.0,772.0
1,DMSO,2285.0,2060.0,1906.0
1,DMSO,2880.0,1811.0,1309.0
1,DMSO,1497.0,878.0,247.0
1,DMSO,2640.5,1872.0,1749.0
1,DMSO,1893.5,1948.5,1695.0
1,DMSO,1993.5,1483.0,1277.5
1,DMSO,2163.0,1653.0,1264.0
1,DMSO,2579.0,1854.0,1095.0
1,DMSO,1691.0,1176.0,933.0
1,DMSO,1793.0,1462.0,982.0
1,DMSO,1971.0,1882.0,1125.0
1,DMSO,1174.0,1118.0,565.0
1,DMSO,1633.0,1234.0,974.0
1,DMSO,1407.0,1676.0,1019.0
1,DMSO,2571.0,1370.0,1049.0
1,DMSO,1960.0,1820.0,1466.0
1,DMSO,2409.0,1891.0,1790.0
1,DMSO,2543.0,1679.0,1260.5
1,DMSO,2430.0,1879.0,1529.0
1,DMSO,2481.0,1687.0,1526.0
1,DMSO,297.0,857.0,668.0
1,DMSO,3065.0,1770.0,1579.0
1,DMSO,2524.5,1588.5,1117.5
1,DMSO,2974.0,1786.0,1649.5
1,DMSO,2189.0,1596.0,1321.0
1,DMSO,1698.0,1344.0,1144.0
1,DMSO,2910.0,2231.0,2000.0
1,DMSO,2521.0,1823.5,1817.0
1,DMSO,2354.5,1440.5,1364.0
1,DMSO,2054.0,1670.0,860.0
1,DMSO,2621.5,2146.5,2082.5
1,DMSO,4583.5,2435.0,2085.0
1,DMSO,323.0,251.0,170.0
1,DMSO,4045.0,2705.0,2390.0
1,DMSO,451.0,415.0,157.0
1,DMSO,3667.0,1672.0,1445.0
1,DMSO,2912.0,1927.0,1844.0
1,DMSO,2454.0,1616.5,1537.0
1,DMSO,3746.0,2239.0,2187.5
1,DMSO,4472.0,2566.0,2154.0
1,DMSO,1014.5,684.0,524.5
1,DMSO,3582.0,1623.0,1224.0
1,DMSO,4892.0,2164.0,1390.5
1,DMSO,3838.5,1620.0,1405.5
1,DMSO,3155.0,1908.5,1800.0
1,DMSO,1535.0,805.0,629.5
1,DMSO,1856.0,866.0,603.0
1,DMSO,430.0,398.0,138.0
