Site,Condition,q_50_nuc_nucleus,q_50_nuc_sensor,q_50_collar_sensor
1,DMSO,560.0,382.0,358.0
1,DMSO,1557.0,805.0,771.0
1,DMSO,4352.0,2223.0,1937.0
1,DMSO,2197.5,2109.5,1653.0
1,DMSO,2269.0,1000.0,880.5
1,DMSO,573.0,401.0,380.0
1,DMSO,3582.0,1814.0,1486.5
1,DMSO,1246.0,875.0,570.0
1,DMSO,2128.5,1307.5,1047.0
1,DMSO,1049.5,627.5,596.5
1,DMSO,1984.0,782.0,608.0
1,DMSO,686.0,479.0,193.0
1,DMSO,1871.0,1791.0,1734.0
1,DMSO,3794.0,1883.0,1647.5
1,DMSO,1951.0,1523.5,1487.0
1,DMSO,2327.0,1179.0,1084.0
1,DMSO,1901.0,1248.0,1112.0
1,DMSO,1872.0,1522.0,1443.0
1,DMSO,1826.0,1260.0,901.0
1,DMSO,5559.0,1331.0,1188.0
1,DMSO,2321.0,1167.0,1004.0
1,DMSO,415.0,249.0,108.0
1,DMSO,3493.0,1774.0,1509.0
1,DMSO,2909.5,1484.5,1231.0
1,DMSO,1882.5,850.0,811.5
1,DMSO,1278.0,871.0,719.5
1,DMSO,1385.0,758.0,756.0
1,DMSO,255.0,239.0,161.0
1,DMSO,8154.0,1606.0,1517.0
1,DMSO,3117.5,1651.5,1328.0
1,DMSO,2520.0,1327.0,1144.0
1,DMSO,444.0,627.5,352.0
1,DMSO,8969.5,1263.0,1043.0
1,DMSO,1516.0,1194.5,992.0
1,DMSO,7950.0,1213.0,860.0
1,DMSO,2275.0,992.5,934.5
1,DMSO,1553.0,830.0,635.5
1,DMSO,386.0,310.5,273.0
1,DMSO,1421.0,1019.0,777.0
1,DMSO,626.5,629.5,372.0
1,DMSO,7061.0,1064.0,832.0
1,DMSO,1933.0,1155.0,1047.5
1,DMSO,209.0,119.0,63.0
1,DMSO,3747.0,983.0,883.0
1,DMSO,478.0,269.0,213.0
1,DMSO,1002.0,405.0,197.5
1,DMSO,635.0,337.0,289.0
1,DMSO,547.5,388.0,253.5
1,DMSO,392.0,241.0,175.0
1,DMSO,3088.0,1174.5,310.0
1,DMSO,4436.0,1064.0,254.0
1,DMSO,4600.5,1458.0,618.0
1,DMSO,5757.5,1784.0,1452.0
1,DMSO,5672.5,1687.0,1390.0
1,DMSO,5040.0,1620.0,1074.5
1,DMSO,10879.0,1732.0,1295.5
1,DMSO,6047.5,1621.0,1016.0
1,DMSO,5197.0,1691.0,1624.0
1,DMSO,6161.5,1727.5,1511.0
1,DMSO,4728.0,1306.0,827.0
1,DMSO,4274.0,1377.5,874.5
1,DMSO,6913.0,1971.0,1606.0
1,DMSO,5307.0,1710.0,1228.0
1,DMSO,7125.5,1773.0,1468.0
1,DMSO,6302.0,1622.0,1461.0
1,DMSO,7586.0,2163.0,1789.5
1,DMSO,5478.0,1656.0,1314.0
1,DMSO,5023.5,1541.5,1267.0
1,DMSO,6099.0,1496.0,1339.0
1,DMSO,4912.0,1177.0,612.0
1,DMSO,5273.0,1614.0,1543.0
1,DMSO,6617.5,1961.5,1620.0
1,DMSO,6761.0,1467.0,1409.0
1,DMSO,7058.0,1974.0,1755.0
1,DMSO,5478.0,1651.0,1555.0
1,DMSO,6844.0,2076.0,1864.0
1,DMSO,5926.0,1822.0,1624.0
1,DMSO,5405.5,1705.0,1394.0
1,DMSO,6047.0,1707.5,1584.0
1,DMSO,5965.5,1695.0,1609.0
1,DMSO,6670.0,2014.0,1763.5
1,DMSO,4464.5,1596.0,1339.0
1,DMSO,5990.0,1735.0,1677.0
1,DMSO,4967.0,1704.0,1401.0
1,DMSO,6847.0,1610.0,1586.0
1,DMSO,6640.5,2130.5,1771.0
1,DMSO,6097.0,1856.0,1774.0
1,DMSO,6750.0,1642.0,1564.0
1,DMSO,4961.0,1495.0,964.0
1,DMSO,6926.0,1596.0,1305.0
1,DMSO,6313.5,1866.5,1624.0
1,DMSO,7003.0,1877.0,1734.0
1,DMSO,6742.0,1853.0,1610.0
1,DMSO,4175.0,1363.5,1266.0
1,DMSO,7473.0,1979.0,1616.0
1,DMSO,4808.0,1556.5,1482.0
1,DMSO,6768.0,1641.0,1265.5
1,DMSO,4947.0,1426.0,1366.5
1,DMSO,4212.0,1230.0,1228.0
1,DMSO,5793.5,1838.0,1767.0
1,DMSO,5201.0,1740.0,1450.0
1,DMSO,7695.0,2135.0,1759.0
1,DMSO,4392.5,1667.5,1412.0
1,DMSO,5338.0,1829.0,1619.5
1,DMSO,6522.5,1548.5,1363.0
1,DMSO,7522.0,2032.0,1573.0
1,DMSO,4724.5,1705.5,1705.0
1,DMSO,5880.0,1696.0,1547.0
1,DMSO,5436.0,1645.0,1604.0
1,DMSO,7100.5,1704.5,1598.5
1,DMSO,5700.0,1846.0,1797.0
1,DMSO,5641.0,1762.0,1625.5
1,DMSO,4388.0,1681.0,1372.0
1,DMSO,6161.0,1855.0,1665.0
1,DMSO,5794.0,1921.0,1612.0
1,DMSO,3745.0,1151.0,871.0
1,DMSO,4858.5,1385.0,1387.0
1,DMSO,5421.0,1618.0,1421.0
1,DMSO,5903.5,2021.5,1802.0
1,DMSO,6461.0,1712.0,1573.0
1,DMSO,5184.0,1837.0,1695.0
1,DMSO,4003.0,1313.0,1181.0
1,DMSO,5743.0,1819.0,1676.0
1,DMSO,4457.5,1289.0,1074.5
1,DMSO,5307.0,1515.0,1353.0
1,DMSO,5188.0,1708.5,1266.5
1,DMSO,3455.0,1032.0,992.0
1,DMSO,5916.5,1591.0,1376.0
1,DMSO,6148.5,1728.0,1618.5
1,DMSO,5475.5,1751.5,1573.0
1,DMSO,5739.0,1640.5,1238.0
1,DMSO,5734.0,1572.0,1509.0
1,DMSO,4908.0,1615.0,1351.0
1,DMSO,5140.5,1626.0,1483.0
1,DMSO,5064.5,1369.0,1366.0
1,DMSO,4977.5,1449.0,1080.5
1,DMSO,3838.0,1191.0,1177.0
1,DMSO,7107.0,1795.0,1522.5
1,DMSO,4856.0,1646.0,1522.0
1,DMSO,5451.0,1766.0,1527.0
1,DMSO,4702.5,1383.0,968.0
1,DMSO,3587.5,1098.0,862.0
1,DMSO,4566.5,1560.0,1535.0
1,DMSO,4088.0,1168.0,968.0
1,DMSO,2858.0,980.0,879.0
1,DMSO,4681.0,1273.0,1140.0
1,DMSO,4351.0,1388.0,1197.0
1,DMSO,4463.5,1540.0,1383.5
1,DMSO,5063.0,1532.0,1189.0
1,DMSO,4333.0,1344.0,1069.5
1,DMSO,4045.5,1139.0,1102.0
1,DMSO,2075.0,776.0,419.0
1,DMSO,1641.0,644.5,432.0
1,DMSO,3197.0,2165.0,1055.5
1,DMSO,2932.0,1032.0,163.0
1,DMSO,5304.0,1987.0,1255.5
1,DMSO,2430.0,1561.0,479.0
1,DMSO,4726.0,2154.0,929.5
1,DMSO,345.0,278.0,145.5
1,DMSO,3973.0,2518.0,1450.5
1,DMSO,4543.5,1944.0,446.5
1,DMSO,5050.5,2576.5,1241.0
1,DMSO,3772.5,1894.5,1332.0
1,DMSO,6649.0,2446.0,1368.0
1,DMSO,4578.5,2110.5,834.0
1,DMSO,2630.0,1869.5,570.5
1,DMSO,6757.0,2302.0,1003.5
1,DMSO,3212.0,1871.5,1829.0
1,DMSO,5224.0,1434.0,543.0
1,DMSO,4959.0,2106.0,1631.0
1,DMSO,4469.0,1702.0,1786.0
1,DMSO,5278.5,2313.5,1410.0
1,DMSO,3837.5,1858.5,1445.0
1,DMSO,7127.0,3324.0,1229.0
1,DMSO,3161.0,1474.0,1051.0
1,DMSO,5124.5,1895.0,921.5
1,DMSO,6581.0,2169.0,982.0
1,DMSO,5840.0,3589.0,2580.0
1,DMSO,4375.0,1834.0,1789.0
1,DMSO,5945.5,2082.0,1070.0
1,DMSO,8202.0,3488.0,1862.0
1,DMSO,5371.5,3432.5,2254.5
1,DMSO,6760.0,2322.5,1974.0
1,DMSO,5248.0,3553.5,1752.5
1,DMSO,5418.5,2148.0,1785.5
1,DMSO,6776.5,2314.0,1598.0
1,DMSO,4787.5,1675.0,1078.0
1,DMSO,5961.0,2302.0,1993.0
1,DMSO,4858.5,2253.0,1663.5
1,DMSO,7291.5,3842.5,2766.5
1,DMSO,6638.0,2760.0,2179.0
1,DMSO,10895.0,7164.0,3773.0
1,DMSO,7285.0,2307.0,2072.0
1,DMSO,4518.0,2103.0,1497.0
1,DMSO,7374.0,3248.5,2301.0
1,DMSO,4994.0,1928.0,1583.0
1,DMSO,5746.0,4700.0,2804.5
1,DMSO,4713.0,2880.0,2168.5
1,DMSO,7074.5,2494.0,2326.0
1,DMSO,5885.5,2727.5,2740.0
1,DMSO,4640.5,1618.5,1630.0
1,DMSO,6597.0,2645.0,2562.0
1,DMSO,4841.5,1798.0,956.0
1,DMSO,5544.0,3219.0,2229.5
1,DMSO,3069.0,1489.0,668.0
1,DMSO,6852.0,3767.0,2899.0
1,DMSO,4607.0,2274.0,1868.0
1,DMSO,7769.0,3747.0,3429.0
1,DMSO,8159.0,4335.5,3054.5
1,DMSO,7076.5,2339.5,2406.5
1,DMSO,5429.0,2476.0,2006.0
1,DMSO,5811.5,3358.0,2673.0
1,DMSO,6013.0,2551.0,2512.0
1,DMSO,4071.0,1393.0,647.0
1,DMSO,7088.5,2317.0,2015.5
1,DMSO,6665.0,3352.0,2844.5
1,DMSO,6676.0,2488.5,1827.5
1,DMSO,4544.0,2164.0,1901.0
1,DMSO,5901.0,1747.0,1411.0
1,DMSO,6463.5,4107.5,2745.0
1,DMSO,8292.0,4373.0,3410.0
1,DMSO,6348.0,3673.0,3165.0
1,DMSO,8349.0,2516.0,2383.5
1,DMSO,4337.0,2296.0,1758.5
1,DMSO,5685.0,3518.0,2898.0
1,DMSO,5978.0,2516.0,1809.0
1,DMSO,5507.5,2676.0,2372.0
1,DMSO,6274.0,2440.0,1819.0
1,DMSO,7198.0,3504.0,2898.0
1,DMSO,5570.0,2702.0,2080.0
1,DMSO,5880.0,2568.0,2059.0
1,DMSO,4029.0,2255.0,1637.5
1,DMSO,7840.0,2725.0,2100.0
1,DMSO,6249.0,2630.0,2277.5
1,DMSO,5554.0,3164.0,1849.0
1,DMSO,7409.0,2890.0,2579.5
1,DMSO,4850.0,3033.0,2825.5
1,DMSO,6951.5,3975.5,3186.0
1,DMSO,7145.5,2923.5,1995.0
1,DMSO,5540.0,2669.0,2424.0
1,DMSO,5233.0,2286.0,1955.5
1,DMSO,6078.0,2431.0,2138.0
1,DMSO,6232.5,2160.0,1730.0
1,DMSO,8809.0,3952.0,3042.0
1,DMSO,5606.0,3198.0,2725.5
1,DMSO,3463.0,2280.0,1820.0
1,DMSO,6340.0,2446.0,1890.0
1,DMSO,5551.0,2432.0,2027.5
1,DMSO,6778.0,2905.0,2547.0
1,DMSO,4704.0,2575.0,2094.0
1,DMSO,7066.0,2883.0,2558.0
1,DMSO,6142.0,2367.0,2093.0
1,DMSO,10048.5,6484.5,4817.0
1,DMSO,5007.0,2738.0,2557.0
1,DMSO,5129.0,3983.0,3186.5
1,DMSO,6536.0,2247.0,2258.5
1,DMSO,5700.0,2829.0,2658.5
1,DMSO,5837.0,2946.0,1949.0
1,DMSO,6283.0,3459.0,3026.0
1,DMSO,3442.0,2290.5,2038.0
1,DMSO,4474.0,2005.0,1749.5
1,DMSO,8081.0,5337.0,4112.0
1,DMSO,4113.0,3406.0,2874.0
1,DMSO,8531.0,5720.0,4350.0
1,DMSO,4928.0,3725.0,3082.0
1,DMSO,6233.0,2183.0,1674.0
1,DMSO,7276.0,3046.0,2767.0
1,DMSO,4714.0,3016.0,2443.0
1,DMSO,3391.0,1950.0,1551.5
1,DMSO,6166.0,1996.0,1882.0
1,DMSO,4340.5,1450.0,982.5
1,DMSO,7033.0,3742.0,3162.0
1,DMSO,5403.0,2268.0,1904.5
1,DMSO,6580.0,3820.0,3232.0
1,DMSO,4925.0,2764.0,2304.5
1,DMSO,556.0,765.0,614.0
1,DMSO,4286.0,1806.0,1647.0
1,DMSO,1340.5,841.0,465.0
1,DMSO,5068.0,2721.0,2577.0
1,DMSO,7357.0,3263.5,2867.0
1,DMSO,4362.5,2572.0,2324.0
1,DMSO,5687.0,2704.0,2370.5
1,DMSO,5342.0,3128.5,2295.0
1,DMSO,4369.0,2248.0,2042.0
1,DMSO,3552.0,2309.5,1783.5
1,DMSO,5884.0,3504.0,3075.0
1,DMSO,2969.0,1228.0,1039.5
1,DMSO,4497.0,2951.0,1858.0
1,DMSO,6103.0,2552.0,2311.5
1,DMSO,1975.0,574.5,423.0
1,DMSO,4149.0,4863.0,3900.0
1,DMSO,4976.0,2558.0,2301.0
1,DMSO,2026.0,1255.5,773.0
1,DMSO,5587.5,2085.5,1096.0
1,DMSO,3517.0,1016.0,842.0
1,DMSO,4721.0,2231.0,1695.0
1,DMSO,4018.0,2629.5,2352.0
1,DMSO,4727.0,2653.0,2269.5
1,DMSO,3209.5,2916.0,1557.0
1,DMSO,3405.5,1957.5,1163.5
1,DMSO,5657.0,2740.0,2408.0
1,DMSO,3841.0,2409.5,2366.5
1,DMSO,4234.0,1972.0,1873.0
1,DMSO,4511.0,3135.0,2851.5
1,DMSO,4145.0,2177.0,1297.0
1,DMSO,3701.0,2023.0,1262.0
1,DMSO,2086.5,1120.5,919.0
1,DMSO,4491.5,2673.0,2351.5
1,DMSO,4729.5,2796.5,2385.5
1,DMSO,2678.0,2145.0,1026.0
1,DMSO,3981.0,2128.0,1525.0
1,DMSO,3614.0,1756.0,1557.0
1,DMSO,4296.5,3098.0,2461.0
1,DMSO,2287.0,940.0,724.0
1,DMSO,2679.5,1143.0,467.5
1,DMSO,3400.0,2059.0,1971.0
1,DMSO,2667.5,1576.0,818.5
1,DMSO,3543.0,1636.0,1358.0
1,DMSO,3092.5,2227.5,1823.0
1,DMSO,1955.5,1131.0,483.0
1,DMSO,2244.5,1183.5,529.0
1,DMSO,5490.0,3904.0,2658.0
1,DMSO,2578.0,1977.0,1860.0
1,DMSO,4018.0,1802.5,1090.0
1,DMSO,3767.5,2961.0,1892.0
1,DMSO,2797.0,1970.0,1662.0
1,DMSO,3207.0,2088.0,1359.0
1,DMSO,1891.0,1590.0,1026.0
1,DMSO,507.0,481.0,131.5
1,DMSO,1742.0,1612.0,1072.0
1,DMSO,3963.5,1770.0,785.5
1,DMSO,617.5,724.0,194.0
1,DMSO,2886.0,2176.0,985.0
1,DMSO,887.0,1020.0,426.0
1,DMSO,1103.5,1121.5,584.0
1,DMSO,269.0,308.5,217.0
1,DMSO,432.0,497.0,354.0
1,DMSO,5001.0,3258.0,2218.5
1,DMSO,4736.0,1777.0,1844.0
1,DMSO,172.5,1459.0,187.0
1,DMSO,2733.0,1243.5,1384.0
1,DMSO,6049.5,3819.5,2304.5
1,DMSO,6485.0,3755.0,2638.0
1,DMSO,8319.0,3900.0,2613.0
1,DMSO,7411.0,3010.0,1821.0
1,DMSO,7116.0,2945.0,1640.0
1,DMSO,5278.5,3059.5,2010.5
1,DMSO,9065.0,3239.5,2283.0
1,DMSO,4319.5,2915.5,2053.5
1,DMSO,8241.0,3074.0,2309.5
1,DMSO,3849.0,1807.5,1865.0
1,DMSO,6498.0,2751.0,2241.0
1,DMSO,1109.0,1141.5,1216.0
1,DMSO,5203.0,2467.0,1850.5
1,DMSO,7208.0,3193.5,2252.0
1,DMSO,6399.0,3635.0,2295.0
1,DMSO,4364.0,2011.0,2102.5
1,DMSO,8035.5,2780.5,2210.0
1,DMSO,5194.0,1829.0,1983.5
1,DMSO,3407.5,1499.0,1784.0
1,DMSO,5245.0,3467.0,2175.0
1,DMSO,3410.5,1667.5,1660.5
1,DMSO,4636.0,2165.5,1541.0
1,DMSO,4353.5,2998.5,2369.0
1,DMSO,3853.0,1610.5,1898.5
1,DMSO,4798.0,2040.0,2220.0
1,DMSO,8177.5,2697.5,2548.5
1,DMSO,4869.5,2052.5,1270.0
1,DMSO,6946.5,3193.0,2546.0
1,DMSO,7028.0,2902.0,2103.0
1,DMSO,7989.0,2628.5,2682.0
1,DMSO,4537.0,2077.5,2241.0
1,DMSO,5805.0,2476.5,1587.5
1,DMSO,5385.5,2403.0,1882.0
1,DMSO,6162.5,2629.0,2085.5
1,DMSO,5989.0,2762.0,1938.0
1,DMSO,7399.0,2822.0,2346.5
1,DMSO,6474.0,2357.0,2199.0
1,DMSO,7732.5,3504.5,2336.5
1,DMSO,5875.5,1975.0,1361.5
1,DMSO,10186.5,2657.5,2647.0
1,DMSO,5116.0,1964.0,2040.0
1,DMSO,5454.0,1895.0,1883.0
1,DMSO,5402.5,2834.0,1738.5
1,DMSO,4014.0,1892.0,1830.0
1,DMSO,6513.0,1705.0,1852.0
1,DMSO,5236.0,2135.0,2196.0
1,DMSO,5317.0,2065.0,2140.5
1,DMSO,5251.5,2997.0,2105.0
1,DMSO,3979.5,1912.0,1743.0
1,DMSO,6242.0,3127.0,2583.0
1,DMSO,9154.0,2567.0,1594.0
1,DMSO,4020.0,2441.0,1678.5
1,DMSO,10181.0,2797.0,2732.0
1,DMSO,5933.0,2763.0,2377.0
1,DMSO,7892.0,2793.5,2708.0
1,DMSO,9040.0,2727.5,2568.0
1,DMSO,4294.0,2754.0,1954.0
1,DMSO,4419.0,1605.0,1720.5
1,DMSO,4413.0,1940.5,1543.5
1,DMSO,6226.0,2312.0,1646.0
1,DMSO,7078.0,2293.0,1697.5
1,DMSO,5259.0,2238.0,1870.0
1,DMSO,5714.5,2798.0,2138.5
1,DMSO,8485.0,2984.0,2466.0
1,DMSO,13556.0,2813.0,2560.0
1,DMSO,4571.0,2459.0,2022.5
1,DMSO,4467.5,1965.5,2003.5
1,DMSO,5701.0,1987.5,2052.0
1,DMSO,7434.5,3855.0,2880.0
1,DMSO,6732.5,2845.5,2321.0
1,DMSO,8051.0,2644.0,2490.0
1,DMSO,8505.5,2471.0,2174.0
1,DMSO,4801.0,1845.0,1559.0
1,DMSO,10578.5,2738.0,2781.0
1,DMSO,6253.5,2329.5,1987.0
1,DMSO,4885.0,1586.0,1710.5
1,DMSO,5569.5,2419.0,1973.0
1,DMSO,4900.0,2465.0,1447.0
1,DMSO,4817.0,3144.0,3027.0
1,DMSO,7437.5,2761.0,2675.0
1,DMSO,4759.5,2366.0,1878.0
1,DMSO,4117.5,2243.0,1598.0
1,DMSO,4802.0,3128.0,2903.0
1,DMSO,3726.5,1767.0,1908.0
1,DMSO,3441.0,1562.0,1679.0
1,DMSO,5743.0,2274.0,2180.0
1,DMSO,7310.5,2330.0,2299.5
1,DMSO,6784.0,1778.0,1889.0
1,DMSO,4567.0,2049.0,1702.0
1,DMSO,5010.0,2822.0,2304.0
1,DMSO,3838.0,1576.0,1753.5
1,DMSO,6736.5,2611.0,1609.0
1,DMSO,5616.0,1853.0,1509.0
1,DMSO,4896.5,2606.0,2032.5
1,DMSO,4982.0,2489.0,1965.5
1,DMSO,3598.0,1709.0,1788.0
1,DMSO,4636.0,2984.0,1984.0
1,DMSO,3186.0,1606.0,672.5
1,DMSO,2552.0,1356.0,1460.0
1,DMSO,2542.0,1238.0,1604.0
1,DMSO,5146.0,2973.0,1963.0
1,DMSO,4212.5,2279.0,1747.0
1,DMSO,2561.5,1361.0,1004.5
1,DMSO,4220.0,2205.5,2025.0
1,DMSO,3377.0,2367.0,1839.5
1,DMSO,4225.0,2418.0,1599.0
1,DMSO,2019.0,1002.0,831.5
1,DMSO,20370.0,5604.0,4420.0
1,DMSO,19945.5,5695.0,4624.0
1,DMSO,15529.0,5606.0,5027.5
1,DMSO,16114.5,4739.5,5263.5
1,DMSO,12175.0,5661.0,4999.0
1,DMSO,16261.5,4651.0,5096.0
1,DMSO,7878.5,3944.5,3983.0
1,DMSO,12190.0,5278.0,3720.5
1,DMSO,17633.0,6462.0,5178.0
1,DMSO,15090.0,5908.0,4899.0
1,DMSO,15559.5,5102.5,5158.5
1,DMSO,16783.0,6979.5,5792.5
1,DMSO,19043.0,7767.0,5845.5
1,DMSO,18636.0,7308.0,5929.0
1,DMSO,15534.5,5495.5,4541.5
1,DMSO,12874.0,5553.0,5237.5
1,DMSO,17351.0,6330.0,5431.5
1,DMSO,4651.0,7387.0,6002.0
1,DMSO,9839.0,4993.0,4570.0
1,DMSO,5668.0,2498.0,2106.0
1,DMSO,8732.0,2838.0,2181.0
1,DMSO,4287.0,2458.0,2637.0
1,DMSO,4848.5,3003.0,2451.0
1,DMSO,11183.0,4478.0,3390.5
1,DMSO,9798.0,4241.0,3187.5
1,DMSO,4665.0,3187.0,1690.5
1,DMSO,5041.0,2655.0,1630.5
1,DMSO,5746.0,3283.0,2721.5
1,DMSO,8122.0,2852.0,2846.0
1,DMSO,6885.0,2840.5,2808.0
1,DMSO,6428.0,3171.0,2948.5
1,DMSO,6492.0,4718.0,3562.0
1,DMSO,3693.0,3112.0,1055.5
1,DMSO,6731.0,2901.5,2734.0
1,DMSO,7835.0,3343.0,2969.0
1,DMSO,7354.5,3193.5,2536.0
1,DMSO,8026.0,4782.0,3041.0
1,DMSO,7615.0,4170.5,3182.0
1,DMSO,7579.0,4145.0,3461.0
1,DMSO,10684.0,2829.5,2111.0
1,DMSO,8948.0,4183.0,2507.0
1,DMSO,7615.0,3294.0,2887.0
1,DMSO,7585.0,3911.0,3086.0
1,DMSO,7646.0,3676.0,3157.0
1,DMSO,6365.0,3124.0,3008.0
1,DMSO,1197.0,2989.0,2999.5
1,DMSO,7083.0,2667.0,2288.5
1,DMSO,5540.5,3146.0,3196.5
1,DMSO,7617.0,4167.5,3384.5
1,DMSO,5838.0,3259.0,2921.0
1,DMSO,6851.5,3011.5,2788.0
1,DMSO,5924.0,2127.0,2020.5
1,DMSO,5858.5,2931.5,2847.0
1,DMSO,6393.5,3197.0,2308.5
1,DMSO,6667.0,3134.5,2470.0
1,DMSO,3725.0,2400.0,2198.0
1,DMSO,6532.0,2947.0,2457.0
1,DMSO,5193.0,4583.0,3859.0
1,DMSO,3115.0,2879.0,2344.5
1,DMSO,5740.5,2664.0,2858.0
1,DMSO,7050.0,3130.5,2479.0
1,DMSO,4511.0,2530.0,2762.0
1,DMSO,7176.0,3228.0,2420.0
1,DMSO,7984.5,2908.0,2696.0
1,DMSO,12107.0,3542.0,2772.0
1,DMSO,9405.0,3112.0,2726.0
1,DMSO,4700.0,2683.5,1140.0
1,DMSO,7270.5,3084.5,2208.0
1,DMSO,7820.0,3521.0,3155.0
1,DMSO,5893.5,2910.5,2545.0
1,DMSO,3098.0,2397.0,2225.0
1,DMSO,3552.5,2367.5,1515.0
1,DMSO,3330.0,2844.0,2453.0
1,DMSO,5848.0,3534.0,2688.0
