Well_ID,tile,Condition,value,Site,Metric
B5,0,DMSO,167,1,spheroid_size
B5,1,DMSO,104,1,spheroid_size
B5,2,DMSO,184,1,spheroid_size
B5,3,DMSO,111,1,spheroid_size
B5,4,DMSO,19,1,spheroid_size
B5,5,DMSO,87,1,spheroid_size
B5,6,DMSO,257,1,spheroid_size
B5,7,DMSO,38,1,spheroid_size
B5,8,DMSO,85,1,spheroid_size
B5,9,DMSO,58,1,spheroid_size
B6,0,DMSO,147,1,spheroid_size
B6,1,DMSO,84,1,spheroid_size
B6,2,DMSO,149,1,spheroid_size
B6,3,DMSO,124,1,spheroid_size
B6,4,DMSO,79,1,spheroid_size
B6,5,DMSO,75,1,spheroid_size
B6,6,DMSO,76,1,spheroid_size
B6,7,DMSO,141,1,spheroid_size
B6,8,DMSO,42,1,spheroid_size
B6,9,DMSO,135,1,spheroid_size
B7,0,DMSO,114,1,spheroid_size
B7,1,DMSO,68,1,spheroid_size
B7,2,DMSO,57,1,spheroid_size
B7,3,DMSO,130,1,spheroid_size
B7,4,DMSO,107,1,spheroid_size
B7,5,DMSO,93,1,spheroid_size
B7,6,DMSO,129,1,spheroid_size
B7,7,DMSO,86,1,spheroid_size
B7,8,DMSO,18,1,spheroid_size
B7,9,DMSO,94,1,spheroid_size
B8,0,DMSO,66,1,spheroid_size
B8,1,DMSO,30,1,spheroid_size
B8,2,DMSO,69,1,spheroid_size
B8,3,DMSO,32,1,spheroid_size
B8,4,DMSO,62,1,spheroid_size
B8,5,DMSO,162,1,spheroid_size
B8,6,DMSO,64,1,spheroid_size
B8,7,DMSO,56,1,spheroid_size
B8,8,DMSO,154,1,spheroid_size
B8,9,DMSO,72,1,spheroid_size
C5,0,100 nM TPA,110,1,spheroid_size
C5,1,100 nM TPA,41,1,spheroid_size
C5,2,100 nM TPA,84,1,spheroid_size
C5,3,100 nM TPA,86,1,spheroid_size
C5,4,100 nM TPA,37,1,spheroid_size
C5,5,100 nM TPA,123,1,spheroid_size
C5,6,100 nM TPA,124,1,spheroid_size
C5,7,100 nM TPA,34,1,spheroid_size
C5,8,100 nM TPA,88,1,spheroid_size
C5,9,100 nM TPA,45,1,spheroid_size
C6,0,100 nM TPA,126,1,spheroid_size
C6,1,100 nM TPA,43,1,spheroid_size
C6,2,100 nM TPA,18,1,spheroid_size
C6,3,100 nM TPA,81,1,spheroid_size
C6,4,100 nM TPA,43,1,spheroid_size
C6,5,100 nM TPA,28,1,spheroid_size
C6,6,100 nM TPA,111,1,spheroid_size
C6,7,100 nM TPA,66,1,spheroid_size
C6,8,100 nM TPA,60,1,spheroid_size
C6,9,100 nM TPA,55,1,spheroid_size
C7,0,100 nM TPA,185,1,spheroid_size
C7,1,100 nM TPA,139,1,spheroid_size
C7,2,100 nM TPA,61,1,spheroid_size
C7,3,100 nM TPA,78,1,spheroid_size
C7,4,100 nM TPA,42,1,spheroid_size
C7,5,100 nM TPA,110,1,spheroid_size
C7,6,100 nM TPA,40,1,spheroid_size
C7,7,100 nM TPA,133,1,spheroid_size
C7,8,100 nM TPA,85,1,spheroid_size
C7,9,100 nM TPA,58,1,spheroid_size
C8,0,100 nM TPA,178,1,spheroid_size
C8,1,100 nM TPA,88,1,spheroid_size
C8,2,100 nM TPA,94,1,spheroid_size
C8,3,100 nM TPA,142,1,spheroid_size
C8,4,100 nM TPA,51,1,spheroid_size
C8,5,100 nM TPA,70,1,spheroid_size
C8,6,100 nM TPA,86,1,spheroid_size
C8,7,100 nM TPA,88,1,spheroid_size
C8,8,100 nM TPA,219,1,spheroid_size
C8,9,100 nM TPA,178,1,spheroid_size
D5,0,20 nM Binimetinib,43,1,spheroid_size
D5,1,20 nM Binimetinib,180,1,spheroid_size
D5,2,20 nM Binimetinib,49,1,spheroid_size
D5,3,20 nM Binimetinib,164,1,spheroid_size
D5,4,20 nM Binimetinib,92,1,spheroid_size
D5,5,20 nM Binimetinib,80,1,spheroid_size
D5,6,20 nM Binimetinib,92,1,spheroid_size
D5,7,20 nM Binimetinib,49,1,spheroid_size
D5,8,20 nM Binimetinib,87,1,spheroid_size
D5,9,20 nM Binimetinib,32,1,spheroid_size
D6,0,20 nM Binimetinib,93,1,spheroid_size
D6,1,20 nM Binimetinib,67,1,spheroid_size
D6,2,20 nM Binimetinib,119,1,spheroid_size
D6,3,20 nM Binimetinib,99,1,spheroid_size
D6,4,20 nM Binimetinib,57,1,spheroid_size
D6,5,20 nM Binimetinib,95,1,spheroid_size
D6,6,20 nM Binimetinib,123,1,spheroid_size
D6,7,20 nM Binimetinib,90,1,spheroid_size
D6,9,20 nM Binimetinib,72,1,spheroid_size
