well,condition,tile,filename,index,N_voxels,Area,Volume,shape_factor,Xc,Yc,Zc,Rg,EquivDiameter,Solidity,PrincipalAxisLengthRatio_1,PrincipalAxisLengthRatio_2,Ellipticity,Oblateness,N_voxels_collar,distance_from_sup_centre,number_of_neighbours,average_distance_to_neighbour,minimal_distance_to_neighbour,is_internal,Mean_nuc_sensor,Std_nuc_sensor,Skewness_nuc_sensor,Kurtosis_nuc_sensor,q_25_nuc_sensor,q_50_nuc_sensor,q_75_nuc_sensor,Mean_collar_sensor,Std_collar_sensor,Skewness_collar_sensor,Kurtosis_collar_sensor,q_25_collar_sensor,q_50_collar_sensor,q_75_collar_sensor,Mean_nuc_nucleus,Std_nuc_nucleus,Skewness_nuc_nucleus,Kurtosis_nuc_nucleus,q_25_nuc_nucleus,q_50_nuc_nucleus,q_75_nuc_nucleus,Mean_collar_nucleus,Std_collar_nucleus,Skewness_collar_nucleus,Kurtosis_collar_nucleus,q_25_collar_nucleus,q_50_collar_nucleus,q_75_collar_nucleus,Mean_nuc_membrane,Std_nuc_membrane,Skewness_nuc_membrane,Kurtosis_nuc_membrane,q_25_nuc_membrane,q_50_nuc_membrane,q_75_nuc_membrane,Mean_collar_membrane,Std_collar_membrane,Skewness_collar_membrane,Kurtosis_collar_membrane,q_25_collar_membrane,q_50_collar_membrane,q_75_collar_membrane,cyt_nuc_ratio_sensor,cyt_nuc_ratio_membrane,cyt_nuc_ratio_nucleus
B5,DMSO,0,B5_tile_0_fused_tp_0,11,1944,750.3019,1638.1667,1.1165,147.0818,131.9218,213.0854,6.1526,15.4846,0.92792,0.81051,0.69874,1.3252,0.77187,673,18.6576,14,27.8986,16.8894,1,1421.3436,106.4561,-0.13075,2.8975,1351,1426,1495,1278.7905,109.4101,0.17302,2.3747,1195,1270,1358,2714.3267,549.7682,0.1039,2.8846,2348,2695.5,3053.5,741.9733,305.6379,0.7189,2.7565,495,674,945.5,100.1749,49.5923,1.5944,6.5445,65,86,121,193.7429,88.2937,1.1569,4.3644,123,174,242.25,0.47107,0.66923,0.20003
B5,DMSO,0,B5_tile_0_fused_tp_0,12,3294,1147.2453,2845.5,1.1814,105.8646,118.588,220.1818,7.6662,18.4604,0.89511,0.64387,0.58536,1.627,0.71217,1097,39.199,9,29.0509,16.3553,0,894.3476,155.9739,-0.50475,3.4772,798,902,1005,821.3473,291.9489,-1.2466,3.5088,750.75,924,1005,2885.8196,927.3228,-0.0056156,2.4546,2179,2951,3529,621.7238,269.8025,0.9722,4.1531,428,577,781,81.4602,52.0561,1.5828,6.1572,45,69,103,173.0483,100.8498,1.136,3.8734,95,145,229.25,0.50602,0.67757,0.16355
B5,DMSO,0,B5_tile_0_fused_tp_0,13,2485,924.9725,2111.1667,1.1622,131.4262,131.7678,219.4201,6.8363,16.8052,0.91327,0.80042,0.61078,1.4172,0.67849,975,17.1392,16,27.9665,16.8894,1,987.7694,100.9895,0.55953,3.0112,912.75,977,1052,998.5939,121.7264,0.6302,3.3893,911.25,978,1070,3724.4263,1137.6875,0.10263,2.6697,2854,3806,4483.25,760.2882,229.8077,0.37463,2.9746,602,740,911,112.8608,81.7319,1.838,6.5529,58,85,139,195.1221,92.6798,0.88109,3.4744,125.25,177,247,0.50026,0.67557,0.16278
B5,DMSO,0,B5_tile_0_fused_tp_0,14,2373,869.9663,2027.3333,1.1231,174.7598,154.6515,219.3262,6.5407,16.5488,0.92659,0.95086,0.73745,1.1846,0.75602,860,44.4169,8,30.8477,21.1083,0,1168.424,105.0383,0.08806,2.919,1097,1170,1238,1145.3954,194.7482,-0.68309,2.4898,982.5,1206.5,1296.5,2653.7517,923.3184,0.17488,2.3594,1924.75,2639,3307.25,586.8989,270.6542,0.83543,3.0184,372.5,520,753.5,98.9928,47.2736,1.0106,3.9032,63,88,125,178.7442,74.3728,1.0041,3.9835,122,163,222,0.50768,0.6494,0.16461
B5,DMSO,0,B5_tile_0_fused_tp_0,15,1174,539.5085,944.1667,1.1592,108.6252,134.5486,217.9157,5.2253,13.0885,0.91433,0.89807,0.80462,1.1746,0.84783,480,37.7859,10,26.778,11.6576,0,1081.8773,95.1327,0.11851,2.854,1020,1081,1140,992.9291,107.5959,0.56999,2.9489,914.5,979.5,1054,2684.949,769.9501,0.14383,2.8778,2152,2709.5,3194,645.8542,335.1139,1.0906,5.7942,422.5,624.5,811.5,100.8603,69.3391,1.409,4.8366,50,79,132,232.0729,157.8404,2.2855,10.2109,127.5,189,289.5,0.47537,0.70522,0.18731
B5,DMSO,0,B5_tile_0_fused_tp_0,16,4416,1339.6294,3895.6667,1.1189,186.7971,120.861,226.2747,8.0602,20.3553,0.92929,0.77255,0.72305,1.3373,0.81582,1314,44.0073,12,36.8822,23.6272,0,942.8465,143.9748,-0.93796,4.9758,872,955,1035,862.656,311.4768,-1.0993,2.9334,752,982,1071,2862.0344,983.4695,-0.060552,2.4635,2101.5,2993,3553,529.1005,200.6838,1.373,4.8114,392,480.5,610,97.5577,50.3473,1.2912,7.3125,57,89,129,188.1728,58.7906,0.81685,6.1028,146,187,224,0.50697,0.67754,0.13833
B5,DMSO,0,B5_tile_0_fused_tp_0,17,5438,1577.1179,4827.6667,1.1417,150.0427,94.9461,225.9892,8.6507,21.8179,0.91843,0.86942,0.71507,1.2622,0.76502,1430,31.4171,12,31.4923,20.0769,0,1190.9238,124.4465,-0.25214,3.3375,1117,1193,1274,1199.4937,220.9617,-1.5424,5.857,1114,1250,1348,2840.6741,703.4647,0.17059,3.7064,2442,2849.5,3244,716.6511,339.8001,0.69579,3.3658,435,669.5,957,61.8385,50.079,2.4903,12.5533,29,49,78,174.2643,106.8107,2.2,9.4332,106,146.5,203,0.51167,0.74936,0.19025
B5,DMSO,0,B5_tile_0_fused_tp_0,18,2706,1061.8661,2279.8333,1.2676,161.4575,115.095,227.6456,7.47,17.2893,0.80536,0.69734,0.54206,1.6137,0.63872,907,21.0867,14,27.1681,14.6352,1,893.4205,103.1854,0.20594,2.9422,821,896,962,1042.752,126.9948,0.27353,3.1241,959.5,1032,1121,3145.1252,728.7725,0.1188,2.5205,2598,3147.5,3657,914.7651,382.1087,1.4028,6.3848,647.25,851,1109,75.0299,33.2757,0.85145,3.7138,50,70,94,163.7552,52.2829,0.48276,3.0313,124.25,157,198,0.53527,0.69163,0.21283
B5,DMSO,0,B5_tile_0_fused_tp_0,19,2220,855.88,1869.6667,1.1661,125.6577,148.0072,225.8383,6.6109,16.1852,0.89408,0.75302,0.63417,1.4418,0.72352,781,28.9767,10,24.4983,16.0487,1,913.3243,86.6901,-0.60351,2.8715,861.5,928,978,891.1639,96.5027,0.15264,4.037,830,897,951,3764.8032,1037.4478,0.24389,2.7115,2980.5,3759,4459,915.5327,376.0574,0.85726,4.043,654.75,871,1137,66.4766,35.0675,1.2654,4.5001,41,57,82,146.4405,83.1112,1.441,4.9236,85,120,183,0.49151,0.67797,0.18812
B5,DMSO,0,B5_tile_0_fused_tp_0,20,6604,1994.0211,5845.1667,1.2707,143.4843,165.8817,226.5345,9.3587,23.2775,0.91773,0.79015,0.69486,1.3468,0.77632,1760,40.7103,10,31.9516,25.2541,0,1203.5414,131.2083,-0.12501,3.2096,1122,1205,1291,1187.9966,203.994,0.065379,4.5047,1064,1177.5,1295,3820.3096,1083.7118,-0.0083649,2.7657,3071,3884,4559,787.5557,334.7584,0.78611,4.055,538.5,749.5,997,69.4644,63.2253,1.971,7.8366,26,49.5,90,195.2358,109.0299,1.3025,5.4345,114,163,258,0.49423,0.76706,0.16176
B5,DMSO,0,B5_tile_0_fused_tp_0,21,3106,1103.8145,2660.8333,1.1887,110.9923,105.5567,229.7927,7.3277,18.1023,0.87468,0.80256,0.66617,1.3617,0.73914,1060,37.7806,9,30.6616,16.9846,0,926.8696,136.107,-1.4947,7.2298,862,948,1014,818.2802,284.4729,-1.2391,3.3923,743,918,1005.5,3107.4192,1005.9431,-0.15707,2.3489,2306,3251,3854,663.7038,324.2123,0.70627,3.3802,417.5,616,857,106.0808,93.5258,2.3692,9.3809,49,76,123,198.1528,168.3475,1.7686,6.0721,85,126.5,247,0.49196,0.62469,0.1593
B5,DMSO,0,B5_tile_0_fused_tp_0,22,5116,1593.6119,4495.1667,1.2099,171.6464,139.8808,234.0805,8.6772,21.3785,0.9238,0.72078,0.62939,1.4813,0.73152,1472,32.2132,10,26.505,19.1518,1,996.8149,132.7077,-0.026959,2.378,897,1000,1097,1094.1168,104.9635,-0.2869,3.2924,1030,1099,1165,3006.4819,806.1841,0.44205,3.3052,2478.5,2974,3468.5,735.4878,195.0149,0.51803,4.5928,600,728,859.5,81.2289,47.7378,1.6581,7.5403,47,69,103,233.2452,114.8926,1.1974,4.3446,144,208,288.5,0.52358,0.7509,0.19665
B5,DMSO,0,B5_tile_0_fused_tp_0,23,1757,723.4153,1467.8333,1.1582,149.4764,133.1696,230.5982,5.9944,14.9712,0.91273,0.9025,0.67978,1.264,0.71462,637,10.0655,13,26.5195,15.8809,1,1280.0917,131.3164,0.097687,3.6427,1192,1292,1368.25,1345.989,178.6478,-0.11134,3.1438,1228.5,1356,1459,3589.0381,969.4142,0.43067,2.2516,2797.75,3459,4316.5,1099.8492,470.0583,1.0109,3.4026,752.75,968,1352.75,98.667,48.8216,1.5847,6.2704,64,86,119,214.7849,91.7327,1.1444,3.9802,145,192,260.25,0.51208,0.69065,0.21866
B5,DMSO,0,B5_tile_0_fused_tp_0,24,2009,776.022,1689,1.1315,119.8591,124.3897,238.4933,6.229,15.6553,0.92666,0.8894,0.69945,1.2588,0.74039,844,24.8078,12,25.8326,18.3367,1,1140.6246,127.99,0.51378,2.9467,1045,1125,1224.25,1046.8447,151.0881,1.0458,4.7516,942,1030.5,1117,3563.0691,1396.9042,0.61894,2.9421,2425.75,3450,4409.75,651.2737,223.047,0.26915,2.5036,478,636.5,803,154.5978,94.2113,1.5575,5.5796,87,124,195,323.6588,155.8343,0.7553,3.9075,178.5,317,424,0.47808,0.71882,0.15576
B5,DMSO,0,B5_tile_0_fused_tp_0,25,1796,759.1313,1486.5,1.2052,167.0852,122.0128,239.25,6.1767,15.0812,0.86638,0.89256,0.66102,1.2874,0.69855,630,25.8067,9,23.0885,14.6352,1,1006.9855,129.661,0.24869,2.7786,918,993,1095,1160.4127,121.5834,-0.57733,4.1903,1094,1161.5,1244,3427.3279,637.2033,0.32685,2.9731,2962.5,3409,3844.5,1221.9635,489.2755,1.0834,4.2482,849,1087,1517,56.8463,32.5236,1.6268,6.694,34,48,71,133.7841,65.1117,1.1446,4.1811,84,122,163,0.5391,0.71765,0.24177
B5,DMSO,0,B5_tile_0_fused_tp_0,26,2972,1064.9476,2540.5,1.1828,165.5767,159.1709,240.425,7.411,17.8382,0.91082,0.79666,0.53376,1.5033,0.59417,1108,41.8727,12,37.8495,21.1944,0,1012.0888,116.1488,0.10601,3.2302,934,1009,1088.5,1023.5623,257.8149,0.55785,3.7445,869,1004,1152,2761.1484,975.1555,-0.06464,2.416,2029,2856.5,3453.5,525.9513,215.5115,0.77671,2.8347,349,477,663.5,51.1457,38.1948,1.2961,4.6206,23,41,68,126.0803,52.5746,0.70822,3.9903,86,122,158,0.49876,0.74847,0.14309
B5,DMSO,0,B5_tile_0_fused_tp_0,27,2338,892.2711,1987.3333,1.1673,124.3768,106.8366,241.2707,6.767,16.467,0.91221,0.80048,0.57304,1.4561,0.63654,873,28.6446,13,30.4211,17.6785,1,1134.2494,111.2786,-0.031377,2.7363,1053,1141,1212,1048.2268,113.6487,0.68311,3.4636,968,1030,1109.25,3467.3408,1407.5437,0.53438,3.0552,2331,3402.5,4381,595.0951,196.9765,1.3702,7.4315,472,583,682,159.3259,117.8975,2.803,15.2358,86,122,187,340.3001,259.7235,1.4473,4.404,149,230,447.5,0.47444,0.65341,0.14628
B5,DMSO,0,B5_tile_0_fused_tp_0,28,3462,1133.5741,3015.1667,1.1231,146.4298,143.2386,242.4951,7.4092,18.7691,0.9284,0.87667,0.72402,1.2495,0.7716,986,22.0218,13,27.0923,15.8809,1,1513.6716,191.1356,-0.023487,2.8227,1384,1514,1646,1570.6349,195.5733,-0.6737,4.1557,1481,1583.5,1687,5301.3047,1577.5035,0.29522,3.0718,4236,5286,6279,1162.5629,397.4459,0.90412,3.9865,874,1089,1403,63.7013,36.523,1.6977,7.0436,38,55,78,149.2657,72.2493,1.0707,4.0922,93,130,193,0.51122,0.7027,0.17082
B5,DMSO,0,B5_tile_0_fused_tp_0,29,2357,865.7775,2003.3333,1.1266,138.8277,85.1812,242.3823,6.5066,16.5115,0.9118,0.85975,0.77749,1.2216,0.83612,844,42.2103,8,29.5168,18.5847,0,639.4141,148.8819,-0.32441,3.6158,556,629,746,650.7358,287.4146,-0.39474,2.3861,496.5,696,859,2517.8379,837.1049,0.032711,2.6844,1930,2551,3139.25,553.641,266.8913,1.1718,4.2612,348,501.5,683.5,52.3742,52.0109,2.9643,17.0961,20,37,66,125.3223,98.715,1.203,4.198,44,105,175.5,0.52528,0.73944,0.16429
B5,DMSO,0,B5_tile_0_fused_tp_0,30,2412,897.8483,2058,1.1475,129.7052,153.4722,245.1828,6.7255,16.639,0.92061,0.89718,0.62664,1.3125,0.6606,866,34.6594,9,30.7743,16.5576,0,931.8765,95.3257,-0.18027,3.041,871,937,995.5,809.007,127.9638,0.20041,4.5614,730,807,882,2831.4814,865.6492,0.18829,2.8719,2283,2779,3411,725.9157,399.9834,0.90765,3.408,424,650.5,948,91.2666,45.5197,1.1591,4.6508,58,82,116,203.1928,80.7398,0.93944,3.2169,142,179,253,0.46273,0.68582,0.18968
B5,DMSO,0,B5_tile_0_fused_tp_0,31,3785,1220.1942,3282.8333,1.1423,172.5149,105.9704,248.4515,7.6296,19.3355,0.90464,0.86941,0.7931,1.203,0.84851,1007,39.6465,8,24.4563,16.8037,1,1329.5237,158.228,-0.30577,2.9067,1224,1340,1443,1286.8789,174.0601,0.010426,2.6088,1151.25,1290,1417.75,4762.3989,1364.4624,0.0082358,2.7118,3776.75,4830,5706,1052.425,459.4292,1.0172,3.7669,700.75,940,1302,95.8079,59.6555,1.8228,7.1788,55,79,115,187.1777,111.5061,1.932,6.8368,116,146,220.75,0.49049,0.64889,0.16291
B5,DMSO,0,B5_tile_0_fused_tp_0,32,3620,1166.66,3170.3333,1.1179,142.4699,126.8086,251.6392,7.5379,19.0504,0.93299,0.87141,0.71106,1.2638,0.75992,1096,21.6032,12,27.0501,19.2157,1,1490.5991,157.1864,-0.24376,2.7872,1386.5,1500,1604,1475.0958,131.2335,0.19436,2.8591,1380.5,1470,1563.5,5143.3115,1680.5134,0.21938,2.8339,3914.5,5188,6252,1052.021,384.5606,1.4305,6.0509,796,975,1220,85.184,51.0611,1.6852,6.0979,50,69,103,149.3577,68.6279,1.3157,4.926,98,129,188,0.49495,0.65152,0.1582
B5,DMSO,0,B5_tile_0_fused_tp_0,33,2692,948.3961,2313,1.1213,150.3176,98.883,250.5903,6.7713,17.2594,0.92924,0.91298,0.81382,1.1582,0.85084,918,34.2078,12,25.7309,15.8942,1,827.9473,91.8302,-0.026044,3.0248,765,835,889,873.4412,115.7643,0.37118,3.476,803,870,935,3404.2239,956.0522,0.62245,3.294,2715,3325,3960,884.4521,304.4375,0.69904,3.1412,657,837.5,1072,82.7407,82.253,2.9509,13.8899,35,56,96,189.5654,147.234,1.6434,5.7413,82,147,239,0.51026,0.72414,0.2012
B5,DMSO,0,B5_tile_0_fused_tp_0,34,2165,897.7767,1796,1.2565,120.4171,142.9723,253.994,6.6989,16.0504,0.88476,0.87106,0.5947,1.3645,0.63568,685,37.4251,12,35.1358,10.97,0,911.43,136.6783,-0.091168,3.2114,826,910,1000.25,852.038,241.4562,-0.79848,2.6575,709.25,928,1017,2086.0107,561.7388,0.24887,3.6726,1748.5,2102,2404,633.965,340.0739,1.4895,6.0726,390,540,798,70.7977,39.6983,2.1353,11.3075,43,63,87,157.4569,81.6935,1.7627,6.6264,105,132,178,0.5049,0.67692,0.20439
B5,DMSO,0,B5_tile_0_fused_tp_0,35,2540,996.419,2134,1.2431,119.9854,133.1921,258.9441,7.0629,16.9282,0.8616,0.73017,0.63154,1.4687,0.73003,776,37.843,9,33.6056,10.97,0,960.5921,191.3412,-0.46116,3.1224,853,984,1085,930.6779,359.2809,-0.48125,1.9603,608,1045.5,1206,1974.024,663.2626,0.38677,3.2444,1516,1979.5,2353.5,515.0116,302.0774,1.3891,5.1174,300.5,414.5,660,88.9835,45.6865,1.9746,11.1055,57,81,110,191.357,91.8541,1.1177,4.1197,131,167,236.5,0.51515,0.67339,0.17314
B5,DMSO,0,B5_tile_0_fused_tp_0,36,2513,916.1296,2145.3333,1.1389,130.5826,92.2622,257.4576,6.7162,16.868,0.90689,0.84412,0.69349,1.3007,0.75211,890,44.7295,8,31.0053,18.5847,0,695.3959,106.5512,-0.98469,4.8918,641,712,763.25,647.3607,203.5434,-0.99344,3.0098,547,718,787,2512.4326,1037.1285,0.21138,2.2877,1628.5,2518,3282,463.8011,221.5627,1.9534,10.9317,326,419.5,554,77.8858,56.5374,1.5474,5.3464,38,62,100,118.7652,77.2946,1.1808,4.0007,61,97,159,0.5021,0.61006,0.14281
B5,DMSO,0,B5_tile_0_fused_tp_0,37,2163,907.995,1794,1.2717,163.6796,121.3389,258.9824,6.6701,16.0455,0.85494,0.95185,0.66837,1.2344,0.68486,702,35.6404,10,27.1907,11.0543,1,1299.5789,146.2074,-0.17975,2.4878,1192,1312,1406,1244.1738,171.3745,0.24689,2.8255,1116,1242.5,1350,3532.9834,773.6703,0.50015,4.0452,3045,3466,3982.75,1149.9786,504.2065,0.6828,3.1071,754,1083,1450,37.8141,18.106,0.8206,3.6923,25,35,48,79.2208,29.4049,0.59332,4.3777,59,77,98,0.4864,0.6875,0.23807
B5,DMSO,0,B5_tile_0_fused_tp_0,38,2580,927.8323,2208.5,1.1313,156.769,89.4136,261.6054,6.747,17.0166,0.92176,0.93781,0.73171,1.1979,0.75519,889,49.6701,8,30.0893,15.8942,0,684.2969,100.5655,-0.77201,4.2652,633,695,749,640.856,196.809,-0.86974,2.9747,551,676,794.25,2719.4783,920.0522,0.068128,2.4267,2055.5,2743,3347,677.4848,346.8012,1.1473,3.8923,417,558,870.25,49.9031,42.5569,2.5728,12.9989,24,38,60,128.2002,120.1809,1.5791,4.9311,46,74,172.25,0.49307,0.66071,0.16904
B5,DMSO,0,B5_tile_0_fused_tp_0,39,2923,1049.8208,2500.3333,1.1784,172.7708,100.9733,264.493,7.1327,17.7396,0.89252,0.76055,0.7171,1.3535,0.81463,896,51.4928,7,31.3129,16.8037,0,909.9032,159.5942,-0.39389,2.9188,808,926,1022,728.7523,223.7344,-0.33485,2.2236,544,779,888,2687.6362,851.6603,0.2102,2.5584,2013,2717,3287.75,885.5089,384.6856,0.89457,4.0671,614,818.5,1088,115.3914,64.1112,1.1743,4.4463,66,98,153,181.7132,91.2528,1.0099,4.3232,120,165,229.5,0.45689,0.62738,0.23151
B5,DMSO,0,B5_tile_0_fused_tp_0,40,2435,979.9026,2039,1.2601,159.7175,120.8694,269.2916,6.8808,16.6917,0.85679,0.92348,0.71561,1.2202,0.74407,761,42.7704,11,35.6992,11.0543,0,1158.4912,163.7066,0.29724,2.7651,1044.25,1149,1262.75,1045.2523,226.2319,0.61339,2.6781,871,1003,1196.25,3070.1143,1055.743,0.47666,3.7758,2315.25,3061,3750.75,787.1354,412.0353,2.6185,10.5123,570,675,818.5,47.9754,43.5025,3.0266,15.2042,23,36,55,110.8791,96.0412,2.174,7.8847,54,74,137.5,0.46608,0.67273,0.18067
B5,DMSO,1,B5_tile_1_fused_tp_0,1,2835,1024.3796,2422.3333,1.1744,127.8169,136.2166,148.5947,7.2579,17.5597,0.91777,0.84481,0.54112,1.4431,0.58664,1030,24.688,7,24.4113,16.8717,0,4514.4346,534.349,-0.43209,3.486,4184,4569,4852,4467.9077,1190.1539,-0.90178,3.0106,3931,4741.5,5360,6807.2974,2562.6042,0.063042,2.4792,4796.25,6976,8549.75,1304.5359,625.2466,1.1545,4.0712,841,1131.5,1597,103.7591,54.129,0.99251,4.272,62,94,135,195.6,80.0389,1.623,6.7781,143,178.5,226,0.50926,0.65505,0.13956
