well,condition,tile,filename,index,N_voxels,Area,Volume,shape_factor,Xc,Yc,Zc,Rg,EquivDiameter,Solidity,PrincipalAxisLengthRatio_1,PrincipalAxisLengthRatio_2,Ellipticity,Oblateness,N_voxels_collar,distance_from_sup_centre,number_of_neighbours,average_distance_to_neighbour,minimal_distance_to_neighbour,is_internal,Mean_nuc_sensor,Std_nuc_sensor,Skewness_nuc_sensor,Kurtosis_nuc_sensor,q_25_nuc_sensor,q_50_nuc_sensor,q_75_nuc_sensor,Mean_collar_sensor,Std_collar_sensor,Skewness_collar_sensor,Kurtosis_collar_sensor,q_25_collar_sensor,q_50_collar_sensor,q_75_collar_sensor,Mean_nuc_nucleus,Std_nuc_nucleus,Skewness_nuc_nucleus,Kurtosis_nuc_nucleus,q_25_nuc_nucleus,q_50_nuc_nucleus,q_75_nuc_nucleus,Mean_collar_nucleus,Std_collar_nucleus,Skewness_collar_nucleus,Kurtosis_collar_nucleus,q_25_collar_nucleus,q_50_collar_nucleus,q_75_collar_nucleus,Mean_nuc_membrane,Std_nuc_membrane,Skewness_nuc_membrane,Kurtosis_nuc_membrane,q_25_nuc_membrane,q_50_nuc_membrane,q_75_nuc_membrane,Mean_collar_membrane,Std_collar_membrane,Skewness_collar_membrane,Kurtosis_collar_membrane,q_25_collar_membrane,q_50_collar_membrane,q_75_collar_membrane,cyt_nuc_ratio_sensor,cyt_nuc_ratio_membrane,cyt_nuc_ratio_nucleus
B5,DMSO,0,B5_tile_0_fused_tp_0,1,2706,944.9515,2327.8333,1.1125,132.9087,126.5987,189.5455,6.8432,17.2893,0.93731,0.90665,0.70618,1.2401,0.74075,942,41.8541,10,30.8441,19.2563,0,1204.3839,89.2957,-0.57434,3.627,1154,1214,1266,1184.6051,189.2634,-1.8458,6.6698,1150,1227.5,1292,2111.6897,738.9163,0.26712,2.6935,1587,2074,2596,415.4565,221.8619,0.97022,3.5979,261,349.5,551,70.3795,48.5455,1.9142,8.694,37,59,88,199.5191,143.252,1.6806,4.8511,106,141,227,0.50276,0.705,0.14421
B5,DMSO,0,B5_tile_0_fused_tp_0,2,3696,1188.3478,3228.6667,1.1249,115.2018,146.5054,193.2863,7.6341,19.1828,0.92794,0.75954,0.69762,1.3725,0.79295,1082,50.8589,10,36.8256,18.3514,0,1022.4683,181.3219,-1.4626,5.726,954.5,1062,1138,880.0859,368.0878,-0.81069,2.3551,615,1036.5,1138,3535.2024,1298.8547,-0.083512,2.6891,2557.5,3736.5,4441,467.0028,265.2391,1.9514,7.2854,307,398,522,87.6196,70.6044,1.9887,9.0731,37,72,115,179.6349,113.7956,1.7245,6.0797,108,148.5,207,0.49392,0.67347,0.096263
B5,DMSO,0,B5_tile_0_fused_tp_0,3,3697,1188.7763,3226.3333,1.1258,150.38,132.8834,194.6505,7.6666,19.1845,0.93311,0.80329,0.65721,1.3694,0.7289,1080,36.9515,8,28.8434,18.7523,0,1363.796,114.1893,-0.39589,3.6773,1298,1366,1440,1272.4861,166.738,-0.52155,2.7431,1162.5,1297,1395.5,3964.9033,1381.6683,-0.12429,2.3161,2862.25,4187,4932,651.1639,264.8156,0.85032,3.3085,453.5,597,792,227.3184,147.9001,1.3579,4.9904,116,195,294,412.1537,141.6578,0.66404,2.9043,306,381.5,507,0.48704,0.66175,0.12479
B5,DMSO,0,B5_tile_0_fused_tp_0,4,7204,1923.1326,6466,1.1458,157.1051,162.6855,202.4307,9.5967,23.9621,0.93461,0.7115,0.68725,1.4299,0.8031,1794,48.5264,9,36.6891,25.7233,0,628.1492,118.2235,0.19754,3.0437,544,618,712,655.4604,246.3171,-0.62406,2.852,555,710,814,3255.0054,952.046,-0.11135,2.9403,2660.5,3346,3864,606.2792,301.4253,0.93336,3.2028,398,523,753,29.6623,47.623,2.6751,11.1885,0,11,36,101.155,85.4932,1.0926,3.1647,37,64,154,0.53464,0.85333,0.13518
B5,DMSO,0,B5_tile_0_fused_tp_0,5,4612,1377.5026,4072.3333,1.117,122.9566,105.4135,203.4063,8.1681,20.6521,0.93115,0.78003,0.71994,1.3334,0.80891,1359,38.965,10,33.1576,22.0202,0,1196.9003,140.8872,-0.13534,3.498,1111,1200,1286,1179.2281,241.3645,-1.2113,4.8666,1073.25,1220,1339,3085.9036,1000.2377,-0.41424,2.1931,2321,3317,3842.5,462.5651,177.6868,0.8534,3.5367,340.25,427,551,63.8562,64.1794,2.1156,8.3781,21,45,80.5,170.3503,111.7314,1.992,10.1025,87,142,224.75,0.50413,0.75936,0.11405
B5,DMSO,0,B5_tile_0_fused_tp_0,6,5047,1521.1974,4453,1.1622,169.574,124.851,202.6002,8.588,21.282,0.92115,0.74053,0.64139,1.4473,0.737,1471,38.1156,10,31.1804,22.2739,0,1334.4487,127.9149,-0.30242,3.3375,1255,1345,1418,1253.4425,198.0413,-0.65069,3.2547,1130,1291,1392,2502.4133,748.6192,0.020542,2.8015,1980,2565,2998,552.8804,207.4808,0.55744,2.6481,386,519,707,107.6618,79.3403,1.8401,6.9124,52,83,134,249.1604,131.373,1.0761,4.3503,149,217,330.5,0.48976,0.72333,0.16829
B5,DMSO,0,B5_tile_0_fused_tp_0,7,1682,749.5815,1373,1.2547,144.4477,104.1356,208.0315,6.4507,14.7551,0.8848,0.61712,0.48875,1.8085,0.60447,631,30.6221,11,28.8993,10.6646,0,1033.1713,64.7869,0.34054,3.1441,986,1031,1077,1000.7258,88.1607,1.3934,5.927,942,985,1037,3948.8215,1727.2535,0.3658,2.1753,2455,3747.5,5313,726.7227,372.1986,1.1423,5.3108,429,636,980,43.1409,26.4317,2.0156,9.438,26,38,54,89.5959,55.9604,1.9005,6.857,55,73,101,0.48859,0.65766,0.14509
B5,DMSO,0,B5_tile_0_fused_tp_0,8,1089,514.6518,867.1667,1.1703,112.2801,132.8375,206.9789,5.1888,12.7647,0.93077,0.7636,0.72295,1.3454,0.81986,476,39.3191,7,21.3904,11.6576,1,1153.9017,81.4831,0.40822,3.113,1099,1145,1202.25,1045.5525,95.9262,-0.080863,2.7862,984,1048.5,1112,2858.7319,781.0189,-0.33809,2.4534,2331,2983,3416,686.647,389.5361,2.3685,9.9955,442,598,780.5,87.5225,73.7353,2.0007,6.9891,41,60,104,189.7773,103.5061,1.0985,3.9805,108,159.5,256.5,0.478,0.72665,0.16699
B5,DMSO,0,B5_tile_0_fused_tp_0,9,1150,558.5423,911,1.229,154.4948,106.8043,210.4122,5.6749,12.9987,0.89147,0.5946,0.49447,1.8364,0.62018,453,29.3025,7,24.5118,10.6646,0,1064.0356,81.3467,-0.01121,2.4372,999,1071,1123,1003.6335,84.5841,0.6006,3.5607,950,992,1056,4226.0376,1880.0326,0.51231,2.4342,2651,4010.5,5566,811.5033,399.8612,1.4467,6.1536,519.75,714,1032.5,46.2217,30.7568,1.6489,6.3932,25,39,58,100.1347,60.488,1.0322,3.2444,54.75,84,129.25,0.48085,0.68293,0.15113
B5,DMSO,0,B5_tile_0_fused_tp_0,10,2523,899.1946,2142,1.119,119.6369,148.5783,210.9727,6.6053,16.8904,0.92384,0.95327,0.84122,1.1145,0.86134,764,38.2208,12,29.251,16.0487,0,991.413,106.0184,-0.26696,3.6339,931,997,1055,1002.551,95.0011,0.91316,4.5985,938.5,983,1053.5,4497.4663,1390.6835,-0.13906,2.9006,3557.25,4697,5443.75,746.1898,374.9569,1.0557,3.9275,462.5,670.5,940.5,67.6916,59.7436,2.0149,7.794,28,49,87,164.5353,109.1857,1.3524,4.8483,81.5,130.5,218,0.49646,0.72702,0.12492
